Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-44-4112-01A-01D-1458-08	235	92	28	37	10	29	19	0
TCGA-44-4112-01A-22D-A27T-08	239	99	30	49	0	18	30	0
TCGA-44-4112-01A-31D-A27T-08	234	99	89	20	0	23	36	0
TCGA-44-4112-01B-06D-A271-08	191	49	26	57	0	13	13	0
TCGA-44-5643-01A-01D-1625-08	22	0	25	6	55	0	28	2
TCGA-44-5644-01A-21D-2036-08	498	119	47	146	98	19	53	16
TCGA-44-5645-01A-01D-1625-08	0	1	0	0	6	16	9	4
TCGA-44-5645-01A-01D-A271-08	0	3	0	0	6	15	8	4
TCGA-44-5645-01A-21D-A27T-08	0	2	0	0	8	16	10	4
TCGA-44-5645-01A-51D-A27T-08	0	3	0	0	7	13	11	4
TCGA-44-5645-01B-04D-A271-08	0	3	0	0	10	11	11	2
TCGA-44-6144-01A-11D-1753-08	89	37	22	0	29	24	16	19
TCGA-44-6145-01A-11D-1753-08	168	102	6	0	7	18	11	13
TCGA-44-6147-01A-11D-1753-08	88	4	15	6	49	0	11	14
TCGA-44-6147-01A-11D-A271-08	102	0	24	0	50	0	14	9
TCGA-44-6147-01A-21D-A27T-08	90	0	18	0	71	0	35	12
TCGA-44-6147-01A-31D-A27T-08	58	0	4	0	52	0	0	9
TCGA-44-6147-01B-06D-A271-08	58	19	7	0	48	0	10	9
TCGA-44-6774-01A-21D-1855-08	197	0	3	74	27	0	6	0
TCGA-44-6775-01A-11D-1855-08	13	5	4	1	5	24	6	2
TCGA-44-6775-01A-11D-A271-08	9	0	6	0	14	19	8	3
TCGA-44-6775-01A-21D-A27T-08	7	6	4	4	11	18	6	2
TCGA-44-6775-01A-31D-A27T-08	16	0	7	10	4	23	6	0
TCGA-44-6775-01C-02D-A271-08	8	0	3	0	12	26	6	0
TCGA-44-6776-01A-11D-1855-08	111	0	8	0	44	24	10	3
TCGA-44-6777-01A-11D-1855-08	103	125	73	6	6	28	27	4
TCGA-44-6778-01A-11D-1855-08	163	66	10	96	33	9	15	13
TCGA-44-6779-01A-11D-1855-08	25	0	4	0	36	0	28	8
TCGA-44-7659-01A-11D-2063-08	70	0	10	0	27	36	2	7
TCGA-44-7660-01A-11D-2063-08	93	48	29	79	44	58	10	0
TCGA-44-7661-01A-11D-2063-08	96	43	37	55	9	8	12	1
TCGA-44-7662-01A-11D-2063-08	285	0	58	97	80	33	8	23
TCGA-44-7667-01A-31D-2063-08	217	7	10	79	109	0	31	31
TCGA-44-7670-01A-11D-2063-08	588	187	142	68	38	29	33	51
TCGA-44-7671-01A-11D-2063-08	72	36	6	64	44	1	17	0
TCGA-44-7672-01A-11D-2063-08	51	54	5	0	34	10	7	1
TCGA-44-8117-01A-11D-2238-08	485	92	38	63	35	53	39	7
TCGA-44-8119-01A-11D-2238-08	274	122	19	28	86	61	51	25
TCGA-44-8120-01A-11D-2238-08	388	0	30	71	85	45	26	0
TCGA-44-A479-01A-31D-A24D-08	198	18	24	0	0	33	11	11
TCGA-44-A47A-01A-21D-A24D-08	37	0	60	62	35	1	21	0
TCGA-44-A47G-01A-21D-A24D-08	4	2	13	28	13	0	7	2
TCGA-44-A4SS-01A-11D-A24P-08	173	83	46	97	21	40	17	14
TCGA-44-A4SU-01A-11D-A24P-08	54	0	5	16	31	22	19	3
TCGA-49-4487-01A-21D-1855-08	143	42	55	63	35	13	1	0
TCGA-49-4488-01A-01D-1753-08	166	48	27	0	11	25	5	17
TCGA-49-4490-01A-21D-1855-08	0	0	8	5	10	8	8	1
TCGA-49-4494-01A-01D-1265-08	80	54	9	10	30	0	17	0
TCGA-49-4501-01A-01D-1265-08	0	0	8	0	13	4	15	6
TCGA-49-4505-01A-01D-1931-08	108	0	16	27	23	9	30	9
