Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-AA-3977-01A-01D-1981-10	279	0	2617	981	0	767	0	0	0
TCGA-AA-3977-01A-01W-0995-10	142	15	2197	882	0	669	0	0	0
TCGA-AA-3979-01A-01W-0995-10	1	12	6	10	10	0	0	101	10
TCGA-AA-3980-01A-02W-0995-10	5	31	0	10	1	13	26	0	17
TCGA-AA-3982-01A-02W-0995-10	4	22	0	19	0	7	16	43	14
TCGA-AA-3984-01A-02D-1981-10	103	127	2331	2920	0	0	0	0	171
TCGA-AA-3984-01A-02W-0995-10	63	103	2087	2444	19	0	0	0	198
TCGA-AA-3986-01A-02W-0995-10	7	32	10	0	2	0	25	15	1
TCGA-AA-3989-01A-01W-0995-10	22	31	0	2	10	12	25	8	5
TCGA-AA-A004-01A-01W-A00E-09	6	24	0	0	6	0	1	15	17
TCGA-AA-A00O-01A-02W-A00E-09	13	9	2	5	7	0	51	0	0
TCGA-AA-A00Z-01A-01D-A17O-10	1	3	0	0	3	0	4	0	0
TCGA-AA-A010-01A-01D-A17O-10	521	0	3033	1729	0	3530	0	0	0
TCGA-AA-A010-01A-01W-A00E-09	205	0	2956	1437	0	3297	0	0	0
TCGA-AA-A017-01A-01W-A00E-09	0	20	0	1	0	0	6	0	24
TCGA-AA-A01C-01A-01W-A00E-09	0	18	4	0	4	4	29	4	14
TCGA-AA-A01I-01A-02W-A00E-09	8	35	0	2	0	20	15	12	19
TCGA-AA-A01K-01A-01W-A00E-09	8	0	0	0	12	12	55	35	17
TCGA-AA-A01P-01A-21D-A17O-10	312	226	0	35	174	40	11	0	42
TCGA-AA-A01P-01A-21W-A096-10	134	116	0	23	138	48	50	0	48
TCGA-AA-A01S-01A-21W-A096-10	8	18	4	0	3	0	11	11	8
TCGA-AA-A01T-01A-21W-A096-10	2	11	0	5	1	5	36	18	18
TCGA-AA-A01V-01A-23W-A096-10	8	35	0	12	2	21	2	20	24
TCGA-AA-A01X-01A-21W-A096-10	0	27	1	0	5	7	24	0	9
TCGA-AA-A01Z-01A-11W-A096-10	2	37	0	6	5	6	25	0	14
TCGA-AA-A022-01A-21D-A17O-10	569	477	3	80	206	29	0	113	1
TCGA-AA-A022-01A-21W-A096-10	470	394	0	63	200	55	0	27	52
TCGA-AA-A024-01A-02W-A00E-09	4	23	0	5	4	3	10	21	9
TCGA-AA-A029-01A-01W-A00E-09	0	23	4	5	3	10	27	0	13
TCGA-AA-A02E-01A-01W-A00E-09	2	11	6	5	18	0	52	43	25
TCGA-AA-A02H-01A-01W-A00E-09	10	14	7	9	1	0	22	0	10
TCGA-AA-A02J-01A-01W-A00E-09	0	1	0	24	0	20	35	32	15
TCGA-AA-A02K-01A-21W-A096-10	15	24	2	10	14	0	26	30	18
TCGA-AA-A02O-01A-21W-A096-10	0	64	0	11	9	5	67	0	9
TCGA-AA-A02R-01A-01W-A00E-09	376	152	3	14	323	59	93	0	44
TCGA-AA-A02W-01A-01W-A00E-09	14	30	0	0	4	7	17	8	15
TCGA-AA-A02Y-01A-43W-A096-10	0	17	3	22	0	10	36	21	3
TCGA-AA-A03J-01A-21W-A096-10	0	24	4	15	10	0	44	0	4
TCGA-AD-6548-01A-11D-1835-10	0	36	0	8	5	4	66	0	10
TCGA-AD-6888-01A-11D-1924-10	12	43	0	15	3	0	12	20	0
TCGA-AD-6889-01A-11D-1924-10	770	257	29	41	357	0	184	0	0
TCGA-AD-6890-01A-11D-1924-10	2	53	0	0	0	15	16	11	14
TCGA-AD-6895-01A-11D-1924-10	599	301	2	124	146	0	0	207	357
TCGA-AD-6901-01A-11D-1924-10	31	30	13	33	14	0	92	52	5
TCGA-AD-6963-01A-11D-1924-10	7	12	0	3	2	0	17	34	0
TCGA-AD-6964-01A-11D-1924-10	703	0	0	73	483	22	102	0	240
TCGA-AD-6965-01A-11D-1924-10	16	43	5	7	6	3	14	29	10
TCGA-AD-A5EJ-01A-11D-A28G-10	637	211	0	1	330	125	96	0	38
TCGA-AD-A5EK-01A-11D-A28G-10	17	20	0	0	0	8	31	14	14
TCGA-AM-5820-01A-01D-1650-10	1	22	0	0	0	13	0	23	7
TCGA-AU-3779-01A-01D-1719-10	11	44	11	0	0	0	14	7	27
TCGA-AU-6004-01A-11D-1719-10	286	278	10	58	214	0	18	30	0
TCGA-AY-4071-01A-01W-1073-09	0	9	2	15	10	0	36	28	21
TCGA-AY-5543-01A-01D-1650-10	13	38	11	5	10	0	31	0	11
TCGA-AY-6197-01A-11D-1719-10	383	62	16	51	490	0	52	0	18
TCGA-AY-6386-01A-21D-1719-10	2	44	1	12	9	0	29	0	15
TCGA-AY-A54L-01A-11D-A28G-10	27	17	6	16	8	0	45	23	6
TCGA-AY-A69D-01A-11D-A36X-10	0	63	0	19	8	37	45	0	35
TCGA-AY-A71X-01A-12D-A36X-10	7	35	0	15	0	4	5	15	5
TCGA-AY-A8YK-01A-11D-A40P-10	21	19	2	6	2	1	17	11	0
TCGA-AZ-4308-01A-01D-1408-10	3	5	0	16	8	0	29	0	7
TCGA-AZ-4313-01A-01D-1408-10	167	879	2	7	50	8	65	0	0
TCGA-AZ-4315-01A-01D-1408-10	149	69	2577	3921	148	348	0	0	0
TCGA-AZ-4614-01A-01D-1408-10	2	17	0	7	25	11	77	52	0
TCGA-AZ-4615-01A-01D-1408-10	332	215	16	40	278	0	93	0	0
TCGA-AZ-4681-01A-01D-1408-10	4	18	1	4	2	0	29	21	0
TCGA-AZ-5403-01A-01D-1650-10	3	10	9	5	0	0	1	35	14
TCGA-AZ-5407-01A-01D-1719-10	5	34	0	0	1	16	13	21	12
TCGA-AZ-6598-01A-11D-1771-10	1065	373	12	130	282	0	0	313	0
TCGA-AZ-6599-01A-11D-1771-10	0	16	0	20	0	0	0	0	227
TCGA-AZ-6600-01A-11D-1771-10	0	22	2	9	3	19	40	47	0
TCGA-AZ-6601-01A-11D-1771-10	905	957	0	4	268	77	171	0	0
TCGA-AZ-6603-01A-11D-1835-10	0	25	2	17	3	0	18	0	10
TCGA-AZ-6605-01A-11D-1835-10	12	12	1	23	8	0	38	3	7
TCGA-AZ-6606-01A-11D-1835-10	5	45	0	0	5	9	32	0	45
TCGA-AZ-6608-01A-11D-1835-10	0	2	1	9	17	6	3	105	7
TCGA-CA-5254-01A-21D-1835-10	29	67	3	0	9	0	55	15	25
TCGA-CA-5255-01A-11D-1835-10	5	7	0	6	2	5	10	0	9
TCGA-CA-5256-01A-01D-1408-10	10	37	5	0	4	0	16	0	8
TCGA-CA-5797-01A-01D-1650-10	4	9	0	1	2	0	24	0	26
TCGA-CA-6715-01A-21D-1835-10	3	17	0	8	3	19	33	0	0
TCGA-CA-6718-01A-11D-1835-10	0	12	3051	632	41	0	80	30	71
TCGA-CA-6719-01A-11D-1835-10	7	44	4	12	9	10	23	0	5
TCGA-CK-4948-01B-11D-1650-10	15	33	4	0	3	0	32	19	2
TCGA-CK-5912-01A-11D-1650-10	8	22	0	4	0	3	0	0	20
TCGA-CK-5913-01A-11D-1650-10	244	225	16	0	191	0	109	0	0
TCGA-CK-5914-01A-11D-1650-10	14	35	7	12	0	0	13	56	5
TCGA-CK-5915-01A-11D-1650-10	0	44	0	0	14	2	23	0	5
TCGA-CK-5916-01A-11D-1650-10	498	409	30	2	329	0	51	0	66
TCGA-CK-6746-01A-11D-1835-10	471	151	13	47	305	20	0	110	7
TCGA-CK-6747-01A-11D-1835-10	7	62	2	18	0	0	5	9	23
TCGA-CM-4743-01A-01D-1719-10	388	265	0	0	274	53	103	0	31
TCGA-CM-4744-01A-01D-1408-10	0	54	3	4	1	19	59	0	9
TCGA-CM-4746-01A-01D-1408-10	277	353	13	9	41	15	0	14	0
TCGA-CM-4747-01A-01D-1408-10	13	39	1	0	0	0	0	20	27
TCGA-CM-4751-01A-02D-1835-10	16	34	0	1	2	0	0	32	9
TCGA-CM-4752-01A-01D-1408-10	0	49	1	13	7	13	48	0	0
TCGA-CM-5341-01A-01D-1408-10	0	64	0	0	8	2	39	19	29
TCGA-CM-5348-01A-21D-1719-10	0	37	0	38	5	6	21	53	27
TCGA-CM-5349-01A-21D-1719-10	0	43	2	19	4	0	18	15	3
TCGA-CM-5860-01A-01D-1650-10	0	35	0	12	3	10	48	0	9
TCGA-CM-5861-01A-01D-1650-10	584	94	10	78	500	0	0	130	16
TCGA-CM-5862-01A-01D-1650-10	4	35	2	0	7	1	3	26	13
TCGA-CM-5864-01A-01D-1650-10	23	3	8	22	16	1	53	71	10
TCGA-CM-5868-01A-01D-1650-10	15	20	8	3	12	0	21	14	7
TCGA-CM-6161-01A-11D-1650-10	1	28	0	0	4	4	52	0	10
TCGA-CM-6163-01A-11D-1650-10	0	29	2	11	1	0	33	16	14
TCGA-CM-6164-01A-11D-1650-10	4	13	2	14	6	0	12	12	13
TCGA-CM-6165-01A-11D-1650-10	24	16	0	0	3	16	38	0	12
TCGA-CM-6166-01A-11D-1650-10	19	12	5	9	0	0	3	36	0
