Samples	SBS96A	SBS96B	SBS96C
TCGA-L9-A7SV-01A-11D-A397-08	1653	72	12
TCGA-L9-A8F4-01A-11D-A397-08	640	84	96
TCGA-MN-A4N1-01A-11D-A24P-08	353	40	79
TCGA-MN-A4N4-01A-12D-A24P-08	1035	411	82
TCGA-MN-A4N5-01A-11D-A24P-08	369	60	47
TCGA-MP-A4SV-01A-11D-A24P-08	172	141	40
TCGA-MP-A4SW-01A-21D-A24P-08	8	12	47
TCGA-MP-A4T2-01A-11D-A24P-08	26	31	31
TCGA-MP-A4T4-01A-11D-A25L-08	313	40	48
TCGA-MP-A4T6-01A-32D-A25L-08	6	26	46
TCGA-MP-A4T7-01A-11D-A24P-08	108	6	27
TCGA-MP-A4T8-01A-11D-A24P-08	72	12	30
TCGA-MP-A4T9-01A-11D-A24P-08	12	7	16
TCGA-MP-A4TA-01A-21D-A24P-08	250	35	85
TCGA-MP-A4TC-01A-11D-A24P-08	208	35	28
TCGA-MP-A4TD-01A-32D-A25L-08	48	6	30
TCGA-MP-A4TE-01A-22D-A25L-08	65	3	76
TCGA-MP-A4TF-01A-11D-A25L-08	347	35	53
TCGA-MP-A4TH-01A-31D-A25L-08	61	7	45
TCGA-MP-A4TK-01A-11D-A24P-08	275	64	28
TCGA-NJ-A4YF-01A-12D-A25L-08	559	43	43
TCGA-NJ-A4YP-01A-11D-A25L-08	134	450	4
TCGA-NJ-A4YQ-01A-11D-A25L-08	995	51	98
TCGA-NJ-A55R-01A-11D-A25L-08	223	21	39
TCGA-NJ-A7XG-01A-12D-A397-08	8	0	25
TCGA-O1-A52J-01A-11D-A25L-08	138	11	39
TCGA-S2-AA1A-01A-12D-A397-08	102	5	21
