Samples	SBS96A	SBS96B	SBS96C
TCGA-49-4514-01A-21D-1855-08	169	120	51
TCGA-49-6743-01A-11D-1855-08	399	259	117
TCGA-49-6744-01A-11D-1855-08	182	13	18
TCGA-49-6745-01A-11D-1855-08	1	75	53
TCGA-49-6761-01A-31D-1945-08	65	85	37
TCGA-49-AAQV-01A-11D-A397-08	10	33	18
TCGA-49-AAR0-01A-21D-A397-08	68	23	45
TCGA-49-AAR3-01A-11D-A410-08	77	22	24
TCGA-49-AAR4-01A-12D-A410-08	413	125	35
TCGA-49-AAR9-01A-21D-A410-08	584	26	75
TCGA-49-AARE-01A-11D-A410-08	1065	115	100
TCGA-49-AARN-01A-21D-A410-08	380	208	204
TCGA-49-AARO-01A-12D-A410-08	585	41	0
TCGA-49-AARQ-01A-11D-A410-08	608	105	44
TCGA-49-AARR-01A-11D-A410-08	1	0	0
TCGA-4B-A93V-01A-11D-A397-08	99	15	29
TCGA-50-5044-01A-21D-1855-08	1	118	11
TCGA-50-5045-01A-01D-1625-08	265	21	0
TCGA-50-5051-01A-21D-1855-08	77	8	31
TCGA-50-5055-01A-01D-1625-08	0	0	10
TCGA-50-5066-01A-01D-1625-08	209	35	28
TCGA-50-5066-02A-11D-2107-08	267	40	79
TCGA-50-5068-01A-01D-1625-08	38	9	44
TCGA-50-5072-01A-21D-1855-08	102	25	39
TCGA-50-5930-01A-11D-1753-08	1075	32	60
TCGA-50-5931-01A-11D-1753-08	234	32	56
TCGA-50-5932-01A-11D-1753-08	65	3	10
TCGA-50-5935-01A-11D-1753-08	2	63	29
TCGA-50-5939-01A-11D-1625-08	13	23	37
TCGA-50-5941-01A-11D-1753-08	292	39	49
TCGA-50-5942-01A-21D-1753-08	37	5	14
TCGA-50-5946-01A-11D-1753-08	445	166	84
TCGA-50-5946-02A-11D-2107-08	462	188	90
TCGA-50-6590-01A-12D-1855-08	652	211	40
TCGA-50-6591-01A-11D-1753-08	13	9	28
TCGA-50-6592-01A-11D-1753-08	153	72	75
TCGA-50-6593-01A-11D-1753-08	243	24	56
TCGA-50-6594-01A-11D-1753-08	448	66	33
TCGA-50-6595-01A-12D-1855-08	23	31	26
TCGA-50-6597-01A-11D-1855-08	1	24	29
TCGA-50-6673-01A-11D-1945-08	5	8	38
TCGA-50-7109-01A-11D-2036-08	178	11	62
TCGA-50-8457-01A-11D-2323-08	26	7	22
TCGA-50-8460-01A-11D-2323-08	5	5	19
TCGA-53-7624-01A-11D-2063-08	540	191	112
TCGA-53-7626-01A-12D-2063-08	301	51	13
TCGA-53-7813-01A-11D-2167-08	110	4	42
TCGA-55-1592-01A-01D-0969-08	315	92	141
TCGA-55-1592-01A-01W-0928-08	295	86	141
TCGA-55-1594-01A-01D-1040-01	53	71	35
TCGA-55-1594-01A-01W-0928-08	50	73	30
TCGA-55-1595-01A-01D-0969-08	266	22	46
TCGA-55-1596-01A-01D-1040-01	115	18	65
TCGA-55-1596-01A-01W-0928-08	119	15	58
TCGA-55-5899-01A-11D-1625-08	308	128	38
TCGA-55-6543-01A-11D-1753-08	0	0	22
TCGA-55-6642-01A-11D-1855-08	97	10	21
TCGA-55-6712-01A-11D-1855-08	31	82	24
TCGA-55-6968-01A-11D-1945-08	123	404	0
TCGA-55-6969-01A-11D-1945-08	318	28	65
TCGA-55-6971-01A-11D-1945-08	56	10	18
TCGA-55-6972-01A-11D-1945-08	95	145	36
TCGA-55-6975-01A-11D-1945-08	28	12	31
TCGA-55-6978-01A-11D-1945-08	0	0	27
TCGA-55-6979-01A-11D-1945-08	72	38	4
TCGA-55-6980-01A-11D-1945-08	0	0	11
TCGA-55-6981-01A-11D-1945-08	3	8	38
TCGA-55-6982-01A-11D-1945-08	11	191	19
TCGA-55-6984-01A-11D-1945-08	5	2	13
TCGA-55-6985-01A-11D-1945-08	389	12	57
TCGA-55-6986-01A-11D-1945-08	0	0	18
TCGA-55-6987-01A-11D-1945-08	91	71	21
TCGA-55-7281-01A-11D-2036-08	345	59	58
TCGA-55-7283-01A-11D-2036-08	93	51	84
TCGA-55-7284-01B-11D-2238-08	1	2	40
TCGA-55-7570-01A-11D-2036-08	220	111	62
TCGA-55-7573-01A-11D-2036-08	31	9	11
TCGA-55-7574-01A-11D-2036-08	84	133	16
TCGA-55-7576-01A-11D-2063-08	278	34	84
TCGA-55-7724-01A-11D-2167-08	72	41	98
TCGA-55-7725-01A-11D-2167-08	103	8	30
TCGA-55-7726-01A-11D-2167-08	7	76	32
TCGA-55-7727-01A-11D-2167-08	117	108	40
TCGA-55-7903-01A-11D-2167-08	75	23	58
TCGA-55-7907-01A-11D-2167-08	942	244	45
TCGA-55-7910-01A-11D-2167-08	254	11	58
TCGA-55-7911-01A-11D-2167-08	166	30	47
TCGA-55-7913-01B-11D-2238-08	246	47	61
TCGA-55-7914-01A-11D-2167-08	94	27	61
TCGA-55-7994-01A-11D-2184-08	1328	123	185
TCGA-55-7995-01A-11D-2184-08	493	131	78
TCGA-55-8085-01A-11D-2238-08	104	131	51
TCGA-55-8087-01A-11D-2238-08	0	6	21
TCGA-55-8089-01A-11D-2238-08	809	442	54
TCGA-55-8090-01A-11D-2238-08	58	5	29
TCGA-55-8091-01A-11D-2238-08	0	0	21
TCGA-55-8092-01A-11D-2238-08	326	153	123
TCGA-55-8094-01A-11D-2238-08	384	29	64
TCGA-55-8096-01A-11D-2238-08	96	12	42
TCGA-55-8097-01A-11D-2238-08	44	10	59
TCGA-55-8203-01A-11D-2238-08	377	9	66
TCGA-55-8204-01A-11D-2238-08	79	95	58
TCGA-55-8206-01A-11D-2238-08	5	4	17
TCGA-55-8208-01A-11D-2238-08	100	187	51
TCGA-55-8299-01A-11D-2284-08	147	18	25
TCGA-55-8301-01A-11D-2284-08	202	40	52
TCGA-55-8506-01A-11D-2393-08	929	20	811
TCGA-55-8507-01A-11D-2393-08	865	52	117
TCGA-55-8510-01A-11D-2393-08	254	36	34
TCGA-55-8511-01A-11D-2393-08	408	93	83
TCGA-55-8512-01A-11D-2393-08	23	7	10
TCGA-55-8514-01A-11D-2393-08	211	14	71
TCGA-55-8614-01A-11D-2393-08	86	37	124
TCGA-55-8615-01A-11D-2393-08	76	9	42
TCGA-55-8616-01A-11D-2393-08	437	21	65
TCGA-55-8620-01A-11D-2393-08	377	33	112
TCGA-55-8621-01A-11D-2393-08	35	5	13
TCGA-55-A48X-01A-11D-A24D-08	322	37	29
TCGA-55-A48Y-01A-11D-A24D-08	0	368	0
TCGA-55-A48Z-01A-12D-A24P-08	18	6	33
TCGA-55-A490-01A-11D-A24D-08	1174	139	58
TCGA-55-A491-01A-11D-A24D-08	290	40	65
TCGA-55-A492-01A-11D-A24D-08	208	26	56
TCGA-55-A493-01A-11D-A24D-08	141	79	48
TCGA-55-A494-01A-11D-A24P-08	149	17	82
TCGA-55-A4DF-01A-11D-A24D-08	157	617	65
TCGA-55-A4DG-01A-11D-A24D-08	615	30	78
TCGA-55-A57B-01A-12D-A397-08	3	6	28
TCGA-62-8394-01A-11D-2323-08	34	52	51
TCGA-62-8395-01A-11D-2323-08	4	17	52
TCGA-62-8397-01A-11D-2323-08	7	3	15
TCGA-62-8398-01A-11D-2323-08	43	14	27
TCGA-62-8399-01A-21D-2323-08	254	222	73
TCGA-62-8402-01A-11D-2323-08	8	9	40
TCGA-62-A46O-01A-11D-A24D-08	636	194	105
TCGA-62-A46P-01A-11D-A24D-08	229	8	47
TCGA-62-A46R-01A-11D-A24D-08	85	33	54
TCGA-62-A46S-01A-11D-A24D-08	67	17	42
TCGA-62-A46U-01A-11D-A24D-08	12	9	23
TCGA-62-A46V-01A-11D-A24D-08	9	9	39
TCGA-62-A46Y-01A-11D-A24D-08	6	2	24
TCGA-62-A471-01A-12D-A24D-08	11	71	41
TCGA-62-A472-01A-11D-A24D-08	21	7	29
TCGA-64-1676-01A-01D-0969-08	536	31	61
TCGA-64-1676-01A-01W-0928-08	517	32	56
TCGA-64-1677-01A-01W-0928-08	71	92	51
TCGA-64-1678-01A-01W-0928-08	371	47	19
