Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-AA-3662-01A-01D-1719-10	0	0	30	53
TCGA-AA-3663-01A-01D-1719-10	1698	0	0	187
TCGA-AA-3664-01A-01W-0900-09	0	0	70	89
TCGA-AA-3666-01A-02W-0900-09	55	14	15	103
TCGA-AA-3667-01A-01W-0900-09	26	0	18	23
TCGA-AA-3672-01A-01W-0900-09	1280	0	386	0
TCGA-AA-3673-01A-01W-0900-09	5	1	36	31
TCGA-AA-3675-01A-02W-0900-09	0	0	50	50
TCGA-AA-3678-01A-01W-0900-09	0	5	39	27
TCGA-AA-3679-01A-02W-0900-09	0	0	28	46
TCGA-AA-3680-01A-01W-0900-09	0	18	57	34
TCGA-AA-3681-01A-01W-0900-09	2	1	63	60
TCGA-AA-3685-01A-02W-0900-09	0	0	32	55
TCGA-AA-3688-01A-01W-0900-09	2	11	14	48
TCGA-AA-3693-01A-01W-0900-09	0	0	19	141
TCGA-AA-3696-01A-01W-0900-09	14	7	29	41
TCGA-AA-3697-01A-01D-1719-10	23	10	30	141
TCGA-AA-3712-01A-21D-1719-10	0	25	0	134
TCGA-AA-3713-01A-21D-1719-10	592	0	347	0
TCGA-AA-3812-01A-01W-0900-09	8	13	39	58
TCGA-AA-3814-01A-01W-0900-09	9	7	43	48
TCGA-AA-3815-01A-01W-0995-10	489	19	208	162
TCGA-AA-3818-01A-01W-0900-09	16	20	37	79
TCGA-AA-3831-01A-01W-0900-09	9	16	45	35
TCGA-AA-3833-01A-01W-0900-09	393	0	215	0
TCGA-AA-3841-01A-01W-0900-09	0	0	31	44
TCGA-AA-3842-01A-01W-0995-10	0	0	28	73
TCGA-AA-3844-01A-01W-0995-10	18	0	0	110
TCGA-AA-3845-01A-01D-1981-10	562	33	295	78
TCGA-AA-3845-01A-01W-0995-10	529	47	210	100
TCGA-AA-3846-01A-01W-0995-10	7	5	25	60
TCGA-AA-3848-01A-01W-0900-09	0	0	64	94
TCGA-AA-3851-01A-01W-0995-10	0	0	45	47
TCGA-AA-3855-01A-01W-0995-10	10	2	51	82
TCGA-AA-3856-01A-01W-0900-09	0	0	28	34
TCGA-AA-3858-01A-01W-0900-09	0	0	34	28
TCGA-AA-3860-01A-02W-0900-09	0	0	6	47
TCGA-AA-3861-01A-01W-0995-10	0	0	64	57
TCGA-AA-3862-01A-01W-0995-10	21	5	17	53
TCGA-AA-3864-01A-01D-1981-10	1274	0	1605	0
TCGA-AA-3866-01A-01W-0995-10	8	2	55	57
TCGA-AA-3867-01A-01W-0995-10	0	0	29	69
TCGA-AA-3869-01A-01W-0995-10	7	9	30	33
TCGA-AA-3870-01A-01W-0995-10	18	5	51	52
TCGA-AA-3875-01A-01W-0900-09	1	9	50	69
TCGA-AA-3930-01A-01W-0995-10	28	17	12	150
TCGA-AA-3939-01A-01W-0995-10	0	0	42	77
TCGA-AA-3941-01A-01W-0995-10	7	4	48	52
TCGA-AA-3952-01A-01W-0995-10	8	2	15	67
TCGA-AA-3955-01A-02W-0995-10	8	2	6	117
TCGA-AA-3956-01A-02W-0995-10	10	6	36	80
TCGA-AA-3967-01A-01W-1073-09	18	1	35	102
TCGA-AA-3968-01A-01W-0995-10	0	10	39	78
TCGA-AA-3971-01A-01W-0995-10	3	1	16	68
TCGA-AA-3972-01A-01W-0995-10	3	7	23	61
TCGA-AA-3977-01A-01D-1981-10	0	4644	0	0
TCGA-AA-3977-01A-01W-0995-10	101	3717	26	61
TCGA-AA-3979-01A-01W-0995-10	31	9	34	76
TCGA-AA-3980-01A-02W-0995-10	4	10	37	52
TCGA-AA-3982-01A-02W-0995-10	10	12	42	61
TCGA-AA-3984-01A-02D-1981-10	0	4853	799	0
TCGA-AA-3984-01A-02W-0995-10	0	4275	639	0
TCGA-AA-3986-01A-02W-0995-10	3	5	44	40
