Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-AA-A02H-01A-01W-A00E-09	7	18	8	11	29
TCGA-AA-A02J-01A-01W-A00E-09	5	11	10	31	70
TCGA-AA-A02K-01A-21W-A096-10	26	34	3	13	63
TCGA-AA-A02O-01A-21W-A096-10	0	70	0	13	82
TCGA-AA-A02R-01A-01W-A00E-09	656	181	21	43	163
TCGA-AA-A02W-01A-01W-A00E-09	17	36	3	0	39
TCGA-AA-A02Y-01A-43W-A096-10	0	29	9	24	50
TCGA-AA-A03J-01A-21W-A096-10	0	28	4	18	51
TCGA-AD-6548-01A-11D-1835-10	0	42	2	9	76
TCGA-AD-6888-01A-11D-1924-10	9	63	0	17	16
TCGA-AD-6889-01A-11D-1924-10	1125	358	22	35	98
TCGA-AD-6890-01A-11D-1924-10	0	64	8	0	39
TCGA-AD-6895-01A-11D-1924-10	876	375	0	174	311
TCGA-AD-6901-01A-11D-1924-10	33	57	16	35	129
TCGA-AD-6963-01A-11D-1924-10	14	25	0	0	36
TCGA-AD-6964-01A-11D-1924-10	1243	0	0	147	233
TCGA-AD-6965-01A-11D-1924-10	19	57	8	6	43
TCGA-AD-A5EJ-01A-11D-A28G-10	1005	281	50	3	99
TCGA-AD-A5EK-01A-11D-A28G-10	17	30	4	0	53
TCGA-AM-5820-01A-01D-1650-10	4	33	7	0	22
TCGA-AU-3779-01A-01D-1719-10	7	50	12	0	45
TCGA-AU-6004-01A-11D-1719-10	440	366	6	70	12
TCGA-AY-4071-01A-01W-1073-09	3	14	0	25	79
TCGA-AY-5543-01A-01D-1650-10	10	44	11	7	47
TCGA-AY-6197-01A-11D-1719-10	782	54	0	118	118
TCGA-AY-6386-01A-21D-1719-10	0	48	1	16	47
TCGA-AY-A54L-01A-11D-A28G-10	34	30	6	17	61
TCGA-AY-A69D-01A-11D-A36X-10	0	75	18	27	87
TCGA-AY-A71X-01A-12D-A36X-10	3	47	2	17	17
TCGA-AY-A8YK-01A-11D-A40P-10	26	32	3	4	14
TCGA-AZ-4308-01A-01D-1408-10	2	8	0	21	37
TCGA-AZ-4313-01A-01D-1408-10	47	1057	0	0	74
TCGA-AZ-4315-01A-01D-1408-10	0	130	2695	4387	0
TCGA-AZ-4614-01A-01D-1408-10	17	37	3	10	124
TCGA-AZ-4615-01A-01D-1408-10	543	275	9	58	89
TCGA-AZ-4681-01A-01D-1408-10	2	29	0	3	45
TCGA-AZ-5403-01A-01D-1650-10	9	17	11	7	33
TCGA-AZ-5407-01A-01D-1719-10	7	47	7	0	41
TCGA-AZ-6598-01A-11D-1771-10	1489	585	13	88	0
TCGA-AZ-6599-01A-11D-1771-10	7	0	0	61	195
TCGA-AZ-6600-01A-11D-1771-10	4	46	14	6	72
TCGA-AZ-6601-01A-11D-1771-10	1111	1183	18	0	70
TCGA-AZ-6603-01A-11D-1835-10	0	25	2	20	28
TCGA-AZ-6605-01A-11D-1835-10	13	18	1	28	44
TCGA-AZ-6606-01A-11D-1835-10	7	46	5	1	82
TCGA-AZ-6608-01A-11D-1835-10	27	19	2	13	89
TCGA-CA-5254-01A-21D-1835-10	27	82	3	0	91
TCGA-CA-5255-01A-11D-1835-10	7	8	2	8	19
TCGA-CA-5256-01A-01D-1408-10	5	45	5	0	25
TCGA-CA-5797-01A-01D-1650-10	7	7	0	5	47
TCGA-CA-6715-01A-21D-1835-10	4	28	9	9	33
TCGA-CA-6718-01A-11D-1835-10	0	0	3240	662	15
TCGA-CA-6719-01A-11D-1835-10	2	59	9	14	30
TCGA-CK-4948-01B-11D-1650-10	12	45	3	0	48
TCGA-CK-5912-01A-11D-1650-10	9	22	0	8	18
TCGA-CK-5913-01A-11D-1650-10	380	295	12	0	98
TCGA-CK-5914-01A-11D-1650-10	18	59	8	10	47
TCGA-CK-5915-01A-11D-1650-10	0	50	0	0	38
TCGA-CK-5916-01A-11D-1650-10	752	496	20	15	102
TCGA-CK-6746-01A-11D-1835-10	793	220	16	60	35
TCGA-CK-6747-01A-11D-1835-10	0	72	2	21	31
TCGA-CM-4743-01A-01D-1719-10	620	331	12	8	143
TCGA-CM-4744-01A-01D-1408-10	0	65	13	2	69
TCGA-CM-4746-01A-01D-1408-10	288	416	18	0	0
TCGA-CM-4747-01A-01D-1408-10	16	54	2	0	28
TCGA-CM-4751-01A-02D-1835-10	22	57	0	0	15
TCGA-CM-4752-01A-01D-1408-10	0	62	7	14	48
TCGA-CM-5341-01A-01D-1408-10	0	69	1	0	91
TCGA-CM-5348-01A-21D-1719-10	0	52	1	50	84
TCGA-CM-5349-01A-21D-1719-10	0	53	2	21	28
TCGA-CM-5860-01A-01D-1650-10	0	42	4	14	57
TCGA-CM-5861-01A-01D-1650-10	1086	139	0	129	58
TCGA-CM-5862-01A-01D-1650-10	8	45	3	0	35
TCGA-CM-5864-01A-01D-1650-10	45	23	10	26	103
TCGA-CM-5868-01A-01D-1650-10	20	29	8	4	39
TCGA-CM-6161-01A-11D-1650-10	0	35	2	0	62
TCGA-CM-6163-01A-11D-1650-10	0	36	1	13	56
TCGA-CM-6164-01A-11D-1650-10	5	17	2	20	32
TCGA-CM-6165-01A-11D-1650-10	30	22	7	0	50
TCGA-CM-6166-01A-11D-1650-10	24	31	7	6	16
TCGA-CM-6167-01A-11D-1650-10	0	38	5	0	36
TCGA-CM-6168-01A-11D-1650-10	62	43	4	16	95
TCGA-CM-6169-01A-11D-1650-10	14	48	6	0	44
TCGA-CM-6170-01A-11D-1650-10	12	29	0	7	50
TCGA-CM-6171-01A-11D-1650-10	502	494	15	0	160
TCGA-CM-6172-01A-11D-1650-10	0	36	4	21	45
TCGA-CM-6674-01A-11D-1835-10	384	396	0	19	30
TCGA-CM-6675-01A-11D-1835-10	10	25	1	0	42
TCGA-CM-6676-01A-11D-1835-10	8	51	3	20	22
TCGA-CM-6677-01A-11D-1835-10	17	79	16	0	30
TCGA-CM-6678-01A-11D-1835-10	7	71	0	0	66
TCGA-CM-6679-01A-11D-1835-10	26	28	0	2	11
TCGA-CM-6680-01A-11D-1835-10	0	36	0	20	34
TCGA-D5-5537-01A-21D-1924-10	16	36	8	9	35
TCGA-D5-5538-01A-01D-1650-10	8	25	2	14	67
TCGA-D5-5540-01A-01D-1650-10	0	54	2	13	50
TCGA-D5-5541-01A-01D-1650-10	0	25	0	11	28
TCGA-D5-6529-01A-11D-1771-10	8	51	7	16	31
TCGA-D5-6530-01A-11D-1719-10	540	383	2	0	65
TCGA-D5-6531-01A-11D-1719-10	0	85	13	13	79
TCGA-D5-6532-01A-11D-1719-10	1	38	9	16	60
TCGA-D5-6533-01A-11D-1719-10	3	28	6	37	103
TCGA-D5-6535-01A-11D-1719-10	12	29	15	11	109
TCGA-D5-6536-01A-11D-1719-10	23	36	0	7	31
TCGA-D5-6537-01A-11D-1719-10	0	41	12	9	50
TCGA-D5-6538-01A-11D-1719-10	25	76	2	12	32
TCGA-D5-6539-01A-11D-1719-10	9	24	6	12	48
TCGA-D5-6541-01A-11D-1719-10	0	60	0	0	36
TCGA-D5-6898-01A-11D-1924-10	4	38	8	0	32
TCGA-D5-6920-01A-11D-1924-10	15	45	2	5	47
TCGA-D5-6922-01A-11D-1924-10	12	50	1	11	33
TCGA-D5-6924-01A-11D-1924-10	0	39	7	7	87
TCGA-D5-6926-01A-11D-1924-10	0	41	0	9	62
TCGA-D5-6927-01A-21D-1924-10	471	132	11	29	8
TCGA-D5-6931-01A-11D-1924-10	73	28	10	49	162
TCGA-D5-6932-01A-11D-1924-10	16	29	15	1	71
TCGA-DM-A0X9-01A-11D-A152-10	9	53	10	32	87
