Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-44-7667-01A-31D-2063-08	330	32	63	59
TCGA-44-7670-01A-11D-2063-08	867	177	41	51
TCGA-44-7671-01A-11D-2063-08	150	16	40	34
TCGA-44-7672-01A-11D-2063-08	114	9	25	14
TCGA-44-8117-01A-11D-2238-08	673	52	24	63
TCGA-44-8119-01A-11D-2238-08	454	37	86	89
TCGA-44-8120-01A-11D-2238-08	522	45	24	54
TCGA-44-A479-01A-31D-A24D-08	248	29	0	18
TCGA-44-A47A-01A-21D-A24D-08	75	77	26	38
TCGA-44-A47G-01A-21D-A24D-08	17	18	23	11
TCGA-44-A4SS-01A-11D-A24P-08	299	61	96	35
TCGA-44-A4SU-01A-11D-A24P-08	82	9	25	34
TCGA-49-4487-01A-21D-1855-08	231	68	44	9
TCGA-49-4488-01A-01D-1753-08	235	35	20	9
TCGA-49-4490-01A-21D-1855-08	0	10	17	13
TCGA-49-4494-01A-01D-1265-08	150	14	10	26
TCGA-49-4501-01A-01D-1265-08	3	10	9	24
TCGA-49-4505-01A-01D-1931-08	141	22	14	45
TCGA-49-4506-01A-01D-1265-08	69	7	24	16
TCGA-49-4510-01A-01D-1265-08	22	7	13	5
TCGA-49-4512-01A-21D-1855-08	8	6	4	18
TCGA-49-4514-01A-21D-1855-08	163	117	24	36
TCGA-49-6743-01A-11D-1855-08	338	232	165	40
TCGA-49-6744-01A-11D-1855-08	171	12	20	10
TCGA-49-6745-01A-11D-1855-08	1	74	18	36
TCGA-49-6761-01A-31D-1945-08	58	80	30	19
TCGA-49-AAQV-01A-11D-A397-08	9	31	10	11
TCGA-49-AAR0-01A-21D-A397-08	67	23	16	30
TCGA-49-AAR3-01A-11D-A410-08	63	18	35	7
TCGA-49-AAR4-01A-12D-A410-08	379	116	63	15
TCGA-49-AAR9-01A-21D-A410-08	570	25	33	57
TCGA-49-AARE-01A-11D-A410-08	1017	110	90	63
TCGA-49-AARN-01A-21D-A410-08	230	148	414	0
TCGA-49-AARO-01A-12D-A410-08	579	42	4	1
TCGA-49-AARQ-01A-11D-A410-08	597	103	19	38
TCGA-49-AARR-01A-11D-A410-08	1	0	0	0
TCGA-4B-A93V-01A-11D-A397-08	87	13	30	13
TCGA-50-5044-01A-21D-1855-08	0	111	14	5
TCGA-50-5045-01A-01D-1625-08	261	20	0	5
TCGA-50-5051-01A-21D-1855-08	81	9	0	26
TCGA-50-5055-01A-01D-1625-08	0	1	3	6
TCGA-50-5066-01A-01D-1625-08	180	30	57	5
TCGA-50-5066-02A-11D-2107-08	220	33	109	24
TCGA-50-5068-01A-01D-1625-08	40	9	9	33
TCGA-50-5072-01A-21D-1855-08	89	22	36	19
TCGA-50-5930-01A-11D-1753-08	1038	30	53	46
TCGA-50-5931-01A-11D-1753-08	206	28	64	24
TCGA-50-5932-01A-11D-1753-08	64	3	3	8
TCGA-50-5935-01A-11D-1753-08	0	58	22	14
TCGA-50-5939-01A-11D-1625-08	9	20	26	18
TCGA-50-5941-01A-11D-1753-08	266	35	56	23
TCGA-50-5942-01A-21D-1753-08	30	4	17	5
TCGA-50-5946-01A-11D-1753-08	436	164	32	63
TCGA-50-5946-02A-11D-2107-08	448	184	43	65
TCGA-50-6590-01A-12D-1855-08	601	197	89	16
TCGA-50-6591-01A-11D-1753-08	10	7	19	14
TCGA-50-6592-01A-11D-1753-08	129	64	76	31
TCGA-50-6593-01A-11D-1753-08	217	20	63	23
TCGA-50-6594-01A-11D-1753-08	422	62	45	18
TCGA-50-6595-01A-12D-1855-08	16	27	28	9
TCGA-50-6597-01A-11D-1855-08	1	22	13	18
TCGA-50-6673-01A-11D-1945-08	4	8	14	25
TCGA-50-7109-01A-11D-2036-08	168	10	37	36
TCGA-50-8457-01A-11D-2323-08	23	6	15	11
TCGA-50-8460-01A-11D-2323-08	6	5	5	13
TCGA-53-7624-01A-11D-2063-08	502	180	98	63
TCGA-53-7626-01A-12D-2063-08	280	47	33	5
TCGA-53-7813-01A-11D-2167-08	107	4	18	27
TCGA-55-1592-01A-01D-0969-08	244	74	193	37
TCGA-55-1592-01A-01W-0928-08	230	70	179	43
TCGA-55-1594-01A-01D-1040-01	53	72	8	26
TCGA-55-1594-01A-01W-0928-08	45	70	21	17
TCGA-55-1595-01A-01D-0969-08	247	19	42	26
TCGA-55-1596-01A-01D-1040-01	88	13	76	21
TCGA-55-1596-01A-01W-0928-08	89	11	76	16
TCGA-55-5899-01A-11D-1625-08	297	124	26	27
TCGA-55-6543-01A-11D-1753-08	0	2	0	20
TCGA-55-6642-01A-11D-1855-08	93	9	14	12
TCGA-55-6712-01A-11D-1855-08	28	79	15	15
TCGA-55-6968-01A-11D-1945-08	117	392	18	0
TCGA-55-6969-01A-11D-1945-08	263	21	113	14
TCGA-55-6971-01A-11D-1945-08	42	8	31	3
TCGA-55-6972-01A-11D-1945-08	84	135	41	16
TCGA-55-6975-01A-11D-1945-08	26	11	15	19
TCGA-55-6978-01A-11D-1945-08	0	0	18	9
TCGA-55-6979-01A-11D-1945-08	67	37	7	3
TCGA-55-6980-01A-11D-1945-08	0	0	7	4
TCGA-55-6981-01A-11D-1945-08	4	9	8	28
TCGA-55-6982-01A-11D-1945-08	12	188	4	17
TCGA-55-6984-01A-11D-1945-08	3	1	10	6
TCGA-55-6985-01A-11D-1945-08	368	10	45	35
TCGA-55-6986-01A-11D-1945-08	0	2	6	10
TCGA-55-6987-01A-11D-1945-08	84	68	18	13
TCGA-55-7281-01A-11D-2036-08	314	53	69	26
TCGA-55-7283-01A-11D-2036-08	96	52	19	61
TCGA-55-7284-01B-11D-2238-08	2	2	9	30
TCGA-55-7570-01A-11D-2036-08	183	97	95	18
TCGA-55-7573-01A-11D-2036-08	23	8	17	3
TCGA-55-7574-01A-11D-2036-08	77	125	23	8
TCGA-55-7576-01A-11D-2063-08	256	31	64	45
TCGA-55-7724-01A-11D-2167-08	54	34	81	42
TCGA-55-7725-01A-11D-2167-08	94	7	24	16
TCGA-55-7726-01A-11D-2167-08	9	78	0	28
TCGA-55-7727-01A-11D-2167-08	109	104	28	24
TCGA-55-7903-01A-11D-2167-08	79	25	8	44
TCGA-55-7907-01A-11D-2167-08	920	240	23	48
TCGA-55-7910-01A-11D-2167-08	258	12	6	47
TCGA-55-7911-01A-11D-2167-08	153	28	37	25
TCGA-55-7913-01B-11D-2238-08	237	45	32	40
TCGA-55-7914-01A-11D-2167-08	97	27	13	45
TCGA-55-7994-01A-11D-2184-08	1273	118	125	120
TCGA-55-7995-01A-11D-2184-08	433	116	129	24
TCGA-55-8085-01A-11D-2238-08	105	132	10	39
TCGA-55-8087-01A-11D-2238-08	0	8	0	19
TCGA-55-8089-01A-11D-2238-08	778	429	51	47
TCGA-55-8090-01A-11D-2238-08	49	3	28	12
TCGA-55-8091-01A-11D-2238-08	0	1	0	20
TCGA-55-8092-01A-11D-2238-08	317	150	51	84
TCGA-55-8094-01A-11D-2238-08	359	27	57	34
TCGA-55-8096-01A-11D-2238-08	90	11	22	27
TCGA-55-8097-01A-11D-2238-08	49	12	3	49
TCGA-55-8203-01A-11D-2238-08	379	10	9	54
TCGA-55-8204-01A-11D-2238-08	68	88	47	29
TCGA-55-8206-01A-11D-2238-08	6	5	0	15
TCGA-55-8208-01A-11D-2238-08	80	168	74	16
TCGA-55-8299-01A-11D-2284-08	123	15	48	4
TCGA-55-8301-01A-11D-2284-08	180	35	58	21
TCGA-55-8506-01A-11D-2393-08	1040	33	0	687
TCGA-55-8507-01A-11D-2393-08	832	50	77	75
TCGA-55-8510-01A-11D-2393-08	235	33	40	16
TCGA-55-8511-01A-11D-2393-08	385	88	64	47
TCGA-55-8512-01A-11D-2393-08	18	6	12	4
TCGA-55-8514-01A-11D-2393-08	215	15	11	55
TCGA-55-8614-01A-11D-2393-08	80	36	54	77
TCGA-55-8615-01A-11D-2393-08	59	6	48	14
TCGA-55-8616-01A-11D-2393-08	442	22	0	59
TCGA-55-8620-01A-11D-2393-08	363	32	56	71
TCGA-55-8621-01A-11D-2393-08	36	5	2	10
TCGA-55-A48X-01A-11D-A24D-08	306	35	29	18
TCGA-55-A48Y-01A-11D-A24D-08	0	341	0	27
TCGA-55-A48Z-01A-12D-A24P-08	18	6	11	22
TCGA-55-A490-01A-11D-A24D-08	1154	137	21	59
TCGA-55-A491-01A-11D-A24D-08	273	38	47	37
TCGA-55-A492-01A-11D-A24D-08	189	23	50	28
TCGA-55-A493-01A-11D-A24D-08	134	77	25	32
TCGA-55-A494-01A-11D-A24P-08	160	19	0	69
TCGA-55-A4DF-01A-11D-A24D-08	152	601	34	52
TCGA-55-A4DG-01A-11D-A24D-08	597	29	43	54
TCGA-55-A57B-01A-12D-A397-08	6	7	0	24
TCGA-62-8394-01A-11D-2323-08	29	49	31	28
TCGA-62-8395-01A-11D-2323-08	6	19	8	40
TCGA-62-8397-01A-11D-2323-08	8	3	1	13
TCGA-62-8398-01A-11D-2323-08	42	14	9	19
TCGA-62-8399-01A-21D-2323-08	257	223	7	62
TCGA-62-8402-01A-11D-2323-08	8	9	16	24
TCGA-62-A46O-01A-11D-A24D-08	599	185	89	62
TCGA-62-A46P-01A-11D-A24D-08	234	8	0	42
TCGA-62-A46R-01A-11D-A24D-08	81	32	25	34
TCGA-62-A46S-01A-11D-A24D-08	64	17	18	27
TCGA-62-A46U-01A-11D-A24D-08	14	10	1	19
TCGA-62-A46V-01A-11D-A24D-08	10	9	11	27
TCGA-62-A46Y-01A-11D-A24D-08	7	3	5	17
TCGA-62-A471-01A-12D-A24D-08	8	68	23	24
TCGA-62-A472-01A-11D-A24D-08	17	6	20	14
TCGA-64-1676-01A-01D-0969-08	512	29	49	38
TCGA-64-1676-01A-01W-0928-08	496	29	44	36
TCGA-64-1677-01A-01W-0928-08	64	87	34	29
TCGA-64-1678-01A-01W-0928-08	361	46	14	16
TCGA-64-1679-01A-21D-2063-08	429	45	30	23
TCGA-64-1680-01A-02D-0969-08	6	20	0	26
TCGA-64-1680-01A-02W-0928-08	9	16	0	21
TCGA-64-1681-01A-11D-2063-08	6	20	32	7
TCGA-64-5774-01A-01D-1625-08	113	8	0	23
TCGA-64-5775-01A-01D-1625-08	414	31	10	51
TCGA-64-5778-01A-01D-1625-08	367	43	41	35
TCGA-64-5781-01A-01D-1625-08	806	171	117	58
TCGA-64-5815-01A-01D-1625-08	128	7	7	39
TCGA-67-3770-01A-01D-0969-08	156	11	36	30
TCGA-67-3770-01A-01W-0928-08	151	11	33	31
TCGA-67-3771-01A-01D-1040-01	506	367	200	67
TCGA-67-3771-01A-01W-0928-08	494	368	252	67
TCGA-67-3773-01A-01D-1040-01	65	6	9	22
TCGA-67-3774-01A-01D-1040-01	60	10	33	15
TCGA-67-3774-01A-01W-0928-08	52	5	35	11
TCGA-67-4679-01B-01D-1753-08	214	16	31	31
TCGA-67-6215-01A-11D-1753-08	0	4	105	0
TCGA-67-6216-01A-11D-1753-08	1	10	11	4
TCGA-67-6217-01A-11D-1753-08	144	10	20	18
TCGA-69-7760-01A-11D-2167-08	17	8	18	28
TCGA-69-7764-01A-11D-2167-08	29	10	23	29
TCGA-69-7765-01A-11D-2167-08	494	72	66	8
TCGA-69-7973-01A-11D-2184-08	216	14	0	35
TCGA-69-7974-01A-11D-2184-08	380	40	51	57
