Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-49-4512-01A-21D-1855-08	3	10	0	3	0	13	7
TCGA-49-4514-01A-21D-1855-08	105	72	32	97	5	26	3
TCGA-49-6743-01A-11D-1855-08	252	75	57	199	121	23	48
TCGA-49-6744-01A-11D-1855-08	104	83	22	0	0	4	0
TCGA-49-6745-01A-11D-1855-08	0	21	5	63	7	26	7
TCGA-49-6761-01A-31D-1945-08	39	18	16	67	15	13	19
TCGA-49-AAQV-01A-11D-A397-08	0	20	7	23	5	6	0
TCGA-49-AAR0-01A-21D-A397-08	46	32	0	16	4	22	16
TCGA-49-AAR3-01A-11D-A410-08	41	27	8	14	26	3	4
TCGA-49-AAR4-01A-12D-A410-08	265	111	54	88	37	6	12
TCGA-49-AAR9-01A-21D-A410-08	379	207	64	0	0	35	0
TCGA-49-AARE-01A-11D-A410-08	810	143	19	80	162	35	31
TCGA-49-AARN-01A-21D-A410-08	199	35	0	72	0	0	486
TCGA-49-AARO-01A-12D-A410-08	469	34	53	26	31	0	13
TCGA-49-AARQ-01A-11D-A410-08	404	214	52	64	1	22	0
TCGA-49-AARR-01A-11D-A410-08	1	0	0	0	0	0	0
TCGA-4B-A93V-01A-11D-A397-08	56	46	0	6	17	8	10
TCGA-50-5044-01A-21D-1855-08	0	0	30	90	7	3	0
TCGA-50-5045-01A-01D-1625-08	218	26	0	15	24	3	0
TCGA-50-5051-01A-21D-1855-08	51	30	7	3	10	15	0
TCGA-50-5055-01A-01D-1625-08	0	0	2	0	5	3	0
TCGA-50-5066-01A-01D-1625-08	126	40	34	17	29	1	25
TCGA-50-5066-02A-11D-2107-08	126	84	85	8	25	14	44
TCGA-50-5068-01A-01D-1625-08	29	1	16	7	15	23	0
TCGA-50-5072-01A-21D-1855-08	62	37	2	16	27	12	10
TCGA-50-5930-01A-11D-1753-08	792	148	108	0	74	25	20
TCGA-50-5931-01A-11D-1753-08	136	78	13	16	69	10	0
TCGA-50-5932-01A-11D-1753-08	42	11	21	0	0	4	0
TCGA-50-5935-01A-11D-1753-08	0	0	3	53	30	8	0
TCGA-50-5939-01A-11D-1625-08	0	23	0	15	17	11	7
TCGA-50-5941-01A-11D-1753-08	167	90	61	15	37	10	0
TCGA-50-5942-01A-21D-1753-08	20	17	2	1	5	3	8
TCGA-50-5946-01A-11D-1753-08	370	0	33	150	99	43	0
TCGA-50-5946-02A-11D-2107-08	373	28	28	167	98	44	2
TCGA-50-6590-01A-12D-1855-08	458	29	147	161	90	5	13
TCGA-50-6591-01A-11D-1753-08	0	0	28	2	0	8	12
TCGA-50-6592-01A-11D-1753-08	32	112	93	34	0	17	12
TCGA-50-6593-01A-11D-1753-08	162	25	40	10	54	12	20
TCGA-50-6594-01A-11D-1753-08	303	76	79	39	29	9	12
TCGA-50-6595-01A-12D-1855-08	0	40	0	19	9	5	7
TCGA-50-6597-01A-11D-1855-08	0	2	3	19	5	13	12
TCGA-50-6673-01A-11D-1945-08	0	15	0	6	11	17	2
TCGA-50-7109-01A-11D-2036-08	112	52	31	0	29	23	4
TCGA-50-8457-01A-11D-2323-08	14	5	10	4	10	8	4
TCGA-50-8460-01A-11D-2323-08	1	9	0	3	0	9	7
TCGA-53-7624-01A-11D-2063-08	348	81	146	139	76	37	16
TCGA-53-7626-01A-12D-2063-08	229	0	35	39	61	1	0
TCGA-53-7813-01A-11D-2167-08	73	7	36	0	21	17	2
TCGA-55-1592-01A-01D-0969-08	95	191	91	36	107	10	18
TCGA-55-1592-01A-01W-0928-08	90	160	111	34	103	15	9
TCGA-55-1594-01A-01D-1040-01	39	0	26	61	0	20	13
TCGA-55-1594-01A-01W-0928-08	28	6	31	60	6	12	10
TCGA-55-1595-01A-01D-0969-08	160	85	46	4	27	12	0
TCGA-55-1596-01A-01D-1040-01	41	61	22	3	59	9	3
TCGA-55-1596-01A-01W-0928-08	37	59	39	0	50	6	1
TCGA-55-5899-01A-11D-1625-08	226	40	46	106	26	18	12
TCGA-55-6543-01A-11D-1753-08	0	3	2	1	0	14	2
TCGA-55-6642-01A-11D-1855-08	74	3	12	6	17	8	8
TCGA-55-6712-01A-11D-1855-08	10	0	49	67	0	11	0
TCGA-55-6968-01A-11D-1945-08	63	0	124	339	0	1	0
TCGA-55-6969-01A-11D-1945-08	199	12	76	7	70	5	42
TCGA-55-6971-01A-11D-1945-08	20	25	14	2	18	0	5
TCGA-55-6972-01A-11D-1945-08	45	78	0	113	0	11	29
TCGA-55-6975-01A-11D-1945-08	17	0	19	8	8	14	5
TCGA-55-6978-01A-11D-1945-08	0	0	6	0	6	7	8
TCGA-55-6979-01A-11D-1945-08	36	27	20	26	5	0	0
TCGA-55-6980-01A-11D-1945-08	0	4	3	0	1	3	0
TCGA-55-6981-01A-11D-1945-08	0	3	19	5	1	19	2
TCGA-55-6982-01A-11D-1945-08	4	10	14	162	20	11	0
TCGA-55-6984-01A-11D-1945-08	0	0	12	0	5	3	0
TCGA-55-6985-01A-11D-1945-08	279	0	94	0	61	19	5
TCGA-55-6986-01A-11D-1945-08	0	0	0	1	12	5	0
TCGA-55-6987-01A-11D-1945-08	39	0	88	49	0	7	0
TCGA-55-7281-01A-11D-2036-08	187	159	42	27	30	12	5
TCGA-55-7283-01A-11D-2036-08	54	49	32	37	0	43	13
TCGA-55-7284-01B-11D-2238-08	0	3	8	0	0	22	10
TCGA-55-7570-01A-11D-2036-08	89	55	115	68	64	2	0
TCGA-55-7573-01A-11D-2036-08	9	11	18	4	6	1	2
TCGA-55-7574-01A-11D-2036-08	33	0	85	99	14	2	0
TCGA-55-7576-01A-11D-2063-08	151	124	52	9	26	26	8
TCGA-55-7724-01A-11D-2167-08	21	46	22	24	59	26	13
TCGA-55-7725-01A-11D-2167-08	62	46	0	1	18	10	4
TCGA-55-7726-01A-11D-2167-08	0	0	41	57	0	17	0
TCGA-55-7727-01A-11D-2167-08	61	89	0	84	0	17	14
TCGA-55-7903-01A-11D-2167-08	44	35	21	15	10	28	3
TCGA-55-7907-01A-11D-2167-08	667	206	96	184	52	26	0
TCGA-55-7910-01A-11D-2167-08	180	30	80	0	1	32	0
TCGA-55-7911-01A-11D-2167-08	71	102	47	9	0	14	0
TCGA-55-7913-01B-11D-2238-08	145	103	38	24	16	23	5
TCGA-55-7914-01A-11D-2167-08	75	0	26	23	23	31	4
TCGA-55-7994-01A-11D-2184-08	923	224	176	62	179	64	8
