Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-AA-3864-01A-01D-1981-10	1338	1303	13	103	122	0	0	0
TCGA-AA-3866-01A-01W-0995-10	8	46	0	12	3	6	15	32
TCGA-AA-3867-01A-01W-0995-10	0	30	7	0	7	0	24	30
TCGA-AA-3869-01A-01W-0995-10	3	24	0	18	9	1	22	2
TCGA-AA-3870-01A-01W-0995-10	13	47	0	4	8	21	19	14
TCGA-AA-3875-01A-01W-0900-09	2	44	0	17	1	13	38	14
TCGA-AA-3930-01A-01W-0995-10	14	20	6	22	1	0	101	43
TCGA-AA-3939-01A-01W-0995-10	0	42	3	13	0	0	51	10
TCGA-AA-3941-01A-01W-0995-10	7	39	3	11	4	0	19	28
TCGA-AA-3952-01A-01W-0995-10	0	24	0	0	8	10	46	4
TCGA-AA-3955-01A-02W-0995-10	0	8	7	0	10	0	18	90
TCGA-AA-3956-01A-02W-0995-10	0	34	3	12	18	0	27	38
TCGA-AA-3967-01A-01W-1073-09	9	42	0	0	4	23	48	30
TCGA-AA-3968-01A-01W-0995-10	0	32	0	5	9	26	8	47
TCGA-AA-3971-01A-01W-0995-10	0	17	0	7	7	0	30	27
TCGA-AA-3972-01A-01W-0995-10	0	29	2	9	12	2	40	0
TCGA-AA-3977-01A-01D-1981-10	323	0	2754	738	0	829	0	0
TCGA-AA-3977-01A-01W-0995-10	191	0	2315	683	0	716	0	0
TCGA-AA-3979-01A-01W-0995-10	18	16	7	12	5	0	2	90
TCGA-AA-3980-01A-02W-0995-10	0	31	0	11	3	17	14	27
TCGA-AA-3982-01A-02W-0995-10	7	22	0	21	0	9	5	61
TCGA-AA-3984-01A-02D-1981-10	140	48	2530	2774	0	76	84	0
TCGA-AA-3984-01A-02W-0995-10	96	34	2261	2322	9	89	103	0
TCGA-AA-3986-01A-02W-0995-10	2	43	4	0	3	16	17	7
TCGA-AA-3989-01A-01W-0995-10	20	36	0	1	12	18	10	18
TCGA-AA-A004-01A-01W-A00E-09	10	24	1	0	5	0	13	16
TCGA-AA-A00O-01A-02W-A00E-09	4	21	2	1	19	5	21	14
TCGA-AA-A00Z-01A-01D-A17O-10	0	4	0	0	4	0	0	3
TCGA-AA-A010-01A-01D-A17O-10	783	0	3500	1421	0	3109	0	0
TCGA-AA-A010-01A-01W-A00E-09	446	0	3380	1147	0	2922	0	0
TCGA-AA-A017-01A-01W-A00E-09	0	19	0	4	0	0	18	10
TCGA-AA-A01C-01A-01W-A00E-09	0	19	4	0	7	5	16	26
TCGA-AA-A01I-01A-02W-A00E-09	9	38	0	3	0	24	23	14
TCGA-AA-A01K-01A-01W-A00E-09	6	6	0	0	18	18	33	58
TCGA-AA-A01P-01A-21D-A17O-10	333	210	0	45	183	45	2	22
TCGA-AA-A01P-01A-21W-A096-10	137	116	0	27	165	56	34	22
TCGA-AA-A01S-01A-21W-A096-10	9	22	2	0	3	4	13	10
TCGA-AA-A01T-01A-21W-A096-10	0	23	0	2	7	11	43	10
TCGA-AA-A01V-01A-23W-A096-10	12	34	0	15	0	26	12	25
TCGA-AA-A01X-01A-21W-A096-10	0	29	3	0	10	7	13	11
TCGA-AA-A01Z-01A-11W-A096-10	0	42	3	6	11	0	22	11
TCGA-AA-A022-01A-21D-A17O-10	644	488	9	90	187	15	0	45
TCGA-AA-A022-01A-21W-A096-10	509	376	0	79	193	52	17	35
TCGA-AA-A024-01A-02W-A00E-09	6	26	0	6	4	5	11	21
TCGA-AA-A029-01A-01W-A00E-09	0	29	5	3	7	13	22	6
TCGA-AA-A02E-01A-01W-A00E-09	1	21	8	4	27	0	41	60
TCGA-AA-A02H-01A-01W-A00E-09	4	17	2	9	4	18	15	4
TCGA-AA-A02J-01A-01W-A00E-09	0	8	4	24	3	16	26	46
TCGA-AA-A02K-01A-21W-A096-10	16	28	0	9	16	10	23	37
TCGA-AA-A02O-01A-21W-A096-10	0	72	0	8	19	11	20	35
TCGA-AA-A02R-01A-01W-A00E-09	401	150	26	13	373	12	65	24
TCGA-AA-A02W-01A-01W-A00E-09	13	29	0	1	5	8	10	29
TCGA-AA-A02Y-01A-43W-A096-10	0	27	2	19	3	22	25	14
TCGA-AA-A03J-01A-21W-A096-10	0	37	6	11	20	0	26	1
TCGA-AD-6548-01A-11D-1835-10	0	50	4	3	18	0	39	15
TCGA-AD-6888-01A-11D-1924-10	15	52	1	15	5	0	3	14
TCGA-AD-6889-01A-11D-1924-10	809	268	32	26	409	0	94	0
TCGA-AD-6890-01A-11D-1924-10	1	58	0	1	0	20	12	19
TCGA-AD-6895-01A-11D-1924-10	717	271	2	160	128	0	322	136
TCGA-AD-6901-01A-11D-1924-10	18	48	2	28	22	37	37	78
TCGA-AD-6963-01A-11D-1924-10	10	17	0	2	3	0	2	41
TCGA-AD-6964-01A-11D-1924-10	763	0	12	74	558	0	216	0
TCGA-AD-6965-01A-11D-1924-10	19	48	5	6	6	7	17	25
TCGA-AD-A5EJ-01A-11D-A28G-10	679	200	0	0	354	139	66	0
TCGA-AD-A5EK-01A-11D-A28G-10	16	28	0	0	0	14	29	17
TCGA-AM-5820-01A-01D-1650-10	6	23	2	0	0	11	5	19
TCGA-AU-3779-01A-01D-1719-10	11	49	12	0	1	0	28	13
TCGA-AU-6004-01A-11D-1719-10	311	281	10	60	232	0	0	0
TCGA-AY-4071-01A-01W-1073-09	0	14	3	15	14	0	29	46
TCGA-AY-5543-01A-01D-1650-10	7	42	10	4	15	4	18	19
TCGA-AY-6197-01A-11D-1719-10	398	35	16	49	552	0	22	0
TCGA-AY-6386-01A-21D-1719-10	0	52	3	10	16	0	31	0
TCGA-AY-A54L-01A-11D-A28G-10	22	25	0	13	12	20	23	33
TCGA-AY-A69D-01A-11D-A36X-10	0	75	0	18	15	49	50	0
TCGA-AY-A71X-01A-12D-A36X-10	8	38	0	15	0	7	3	15
TCGA-AY-A8YK-01A-11D-A40P-10	23	27	0	5	4	8	2	10
TCGA-AZ-4308-01A-01D-1408-10	0	9	0	14	13	5	16	11
TCGA-AZ-4313-01A-01D-1408-10	153	942	6	15	62	0	0	0
TCGA-AZ-4315-01A-01D-1408-10	186	0	2849	3715	117	345	0	0
TCGA-AZ-4614-01A-01D-1408-10	0	29	0	5	36	13	14	94
TCGA-AZ-4615-01A-01D-1408-10	346	227	19	35	326	0	21	0
TCGA-AZ-4681-01A-01D-1408-10	2	26	1	2	5	0	14	29
TCGA-AZ-5403-01A-01D-1650-10	10	13	10	5	0	0	19	20
TCGA-AZ-5407-01A-01D-1719-10	7	39	0	0	0	19	11	26
TCGA-AZ-6598-01A-11D-1771-10	1316	409	10	137	260	0	0	43
TCGA-AZ-6599-01A-11D-1771-10	11	4	0	40	0	0	208	0
TCGA-AZ-6600-01A-11D-1771-10	0	36	0	5	7	32	16	46
TCGA-AZ-6601-01A-11D-1771-10	958	1011	23	4	287	25	74	0
TCGA-AZ-6603-01A-11D-1835-10	0	29	3	16	7	0	19	1
TCGA-AZ-6605-01A-11D-1835-10	6	19	3	21	16	0	24	15
TCGA-AZ-6606-01A-11D-1835-10	1	50	0	0	11	13	49	17
TCGA-AZ-6608-01A-11D-1835-10	7	2	3	12	10	0	0	116
TCGA-CA-5254-01A-21D-1835-10	23	79	2	0	16	7	43	33
TCGA-CA-5255-01A-11D-1835-10	3	8	0	6	4	6	12	5
TCGA-CA-5256-01A-01D-1408-10	7	43	5	0	8	0	17	0
TCGA-CA-5797-01A-01D-1650-10	2	14	1	1	7	0	34	7
TCGA-CA-6715-01A-21D-1835-10	0	27	0	6	9	25	8	8
TCGA-CA-6718-01A-11D-1835-10	2	34	3285	391	56	0	71	78
TCGA-CA-6719-01A-11D-1835-10	1	52	2	10	14	19	16	0
TCGA-CK-4948-01B-11D-1650-10	12	40	4	0	6	0	11	35
TCGA-CK-5912-01A-11D-1650-10	8	17	0	8	0	2	6	16
TCGA-CK-5913-01A-11D-1650-10	249	251	13	0	238	5	29	0
TCGA-CK-5914-01A-11D-1650-10	22	42	7	12	0	0	12	47
TCGA-CK-5915-01A-11D-1650-10	0	47	1	0	21	0	13	6
TCGA-CK-5916-01A-11D-1650-10	523	399	30	8	367	0	58	0
TCGA-CK-6746-01A-11D-1835-10	540	136	20	49	320	3	6	50
TCGA-CK-6747-01A-11D-1835-10	7	65	0	20	0	7	19	8
TCGA-CM-4743-01A-01D-1719-10	404	277	0	0	314	63	54	2
TCGA-CM-4744-01A-01D-1408-10	0	72	5	0	12	21	39	0
TCGA-CM-4746-01A-01D-1408-10	299	358	11	14	20	20	0	0
TCGA-CM-4747-01A-01D-1408-10	22	46	2	0	0	0	25	5
TCGA-CM-4751-01A-02D-1835-10	26	44	0	1	0	0	9	14
TCGA-CM-4752-01A-01D-1408-10	0	67	6	9	20	7	21	1
TCGA-CM-5341-01A-01D-1408-10	0	64	2	0	11	0	26	58
TCGA-CM-5348-01A-21D-1719-10	0	34	0	42	2	7	13	89
