Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-44-2662-01B-02D-A271-08	14	0	4	92	74	0	0	0	6
TCGA-44-2665-01A-01D-1040-01	1	0	0	13	0	0	14	16	3
TCGA-44-2665-01A-01D-A271-08	2	0	0	15	0	0	13	16	2
TCGA-44-2665-01A-01W-0928-08	0	0	0	15	0	3	23	9	2
TCGA-44-2665-01B-06D-A271-08	2	0	0	16	0	0	19	12	3
TCGA-44-2666-01A-01D-1489-08	2	0	1	1	7	0	6	9	4
TCGA-44-2666-01A-01D-A271-08	0	0	3	1	7	4	2	7	3
TCGA-44-2666-01A-01W-0928-08	0	0	1	1	10	3	2	11	4
TCGA-44-2666-01A-21D-A27T-08	5	0	0	1	9	1	1	12	5
TCGA-44-2666-01A-41D-A27T-08	0	4	0	2	9	0	5	9	5
TCGA-44-2666-01B-02D-A271-08	2	0	0	1	5	3	0	9	5
TCGA-44-2668-01A-01D-0969-08	154	0	83	66	29	60	3	7	0
TCGA-44-2668-01A-01D-A271-08	135	0	88	62	20	55	0	3	0
TCGA-44-2668-01A-01W-0928-08	170	0	70	66	37	50	0	4	0
TCGA-44-2668-01B-02D-A271-08	94	0	47	31	29	35	0	0	0
TCGA-44-3396-01A-01D-1553-08	22	18	0	67	27	34	0	25	0
TCGA-44-3398-01A-01D-1105-08	65	0	31	47	14	0	20	14	0
TCGA-44-3917-01A-01D-A271-08	45	13	70	11	38	43	1	11	0
TCGA-44-3917-01B-02D-A271-08	34	18	78	11	47	38	0	13	0
TCGA-44-3918-01B-02D-A271-08	502	76	170	54	90	27	0	8	0
TCGA-44-3919-01A-02D-1105-08	1	0	2	4	0	11	13	2	0
TCGA-44-3919-01A-02D-1458-08	0	0	4	4	8	9	10	3	0
TCGA-44-4112-01A-01D-1105-08	224	42	35	6	90	0	8	19	6
TCGA-44-4112-01A-01D-1458-08	230	59	25	2	99	0	11	18	6
TCGA-44-4112-01A-22D-A27T-08	253	40	26	5	98	0	8	29	6
TCGA-44-4112-01A-31D-A27T-08	260	27	7	58	110	0	2	33	4
TCGA-44-4112-01B-06D-A271-08	203	18	12	4	86	0	9	12	5
TCGA-44-5643-01A-01D-1625-08	9	30	0	22	10	40	0	26	1
TCGA-44-5644-01A-21D-2036-08	352	226	182	34	74	35	20	53	20
TCGA-44-5645-01A-01D-1625-08	0	0	0	0	2	10	11	9	4
TCGA-44-5645-01A-01D-A271-08	0	0	0	0	2	10	13	7	4
TCGA-44-5645-01A-21D-A27T-08	0	0	0	0	1	14	12	10	3
TCGA-44-5645-01A-51D-A27T-08	0	0	0	0	1	14	10	10	3
TCGA-44-5645-01B-04D-A271-08	0	0	0	0	2	15	8	11	1
TCGA-44-6144-01A-11D-1753-08	83	43	6	18	22	7	24	16	17
TCGA-44-6145-01A-11D-1753-08	213	4	5	0	38	44	3	7	11
TCGA-44-6147-01A-11D-1753-08	72	46	0	17	0	32	0	10	10
TCGA-44-6147-01A-11D-A271-08	83	38	0	21	13	24	0	12	8
TCGA-44-6147-01A-21D-A27T-08	65	60	0	20	0	40	0	34	7
TCGA-44-6147-01A-31D-A27T-08	39	47	0	5	0	25	0	0	7
TCGA-44-6147-01B-06D-A271-08	62	25	0	9	0	42	0	8	5
TCGA-44-6774-01A-21D-1855-08	106	103	77	6	0	7	0	8	0
TCGA-44-6775-01A-11D-1855-08	1	17	9	6	0	0	21	6	0
TCGA-44-6775-01A-11D-A271-08	0	19	0	8	0	6	18	8	0
TCGA-44-6775-01A-21D-A27T-08	1	13	7	6	0	8	17	6	0
TCGA-44-6775-01A-31D-A27T-08	0	26	5	7	0	0	22	6	0
TCGA-44-6775-01C-02D-A271-08	0	17	0	4	0	5	23	6	0
TCGA-44-6776-01A-11D-1855-08	103	21	0	8	2	36	20	8	2
TCGA-44-6777-01A-11D-1855-08	131	0	85	72	14	20	26	24	0
TCGA-44-6778-01A-11D-1855-08	89	82	143	14	11	15	22	17	12
TCGA-44-6779-01A-11D-1855-08	0	46	0	5	0	18	0	27	5
TCGA-44-7659-01A-11D-2063-08	39	48	0	4	25	0	27	3	6
TCGA-44-7660-01A-11D-2063-08	54	73	48	5	94	17	53	11	6
TCGA-44-7661-01A-11D-2063-08	70	48	44	28	47	0	8	13	3
TCGA-44-7662-01A-11D-2063-08	177	175	48	55	34	25	43	9	18
TCGA-44-7667-01A-31D-2063-08	158	118	40	14	4	85	6	31	28
TCGA-44-7670-01A-11D-2063-08	671	0	30	104	146	104	14	22	45
TCGA-44-7671-01A-11D-2063-08	54	45	43	1	29	39	13	16	0
TCGA-44-7672-01A-11D-2063-08	69	16	15	3	8	37	7	6	1
