Samples	SBS96A	SBS96B	SBS96C
TCGA-AZ-6605-01A-11D-1835-10	20	16	68
TCGA-AZ-6606-01A-11D-1835-10	13	2	126
TCGA-AZ-6608-01A-11D-1835-10	30	7	113
TCGA-CA-5254-01A-21D-1835-10	55	0	148
TCGA-CA-5255-01A-11D-1835-10	10	7	27
TCGA-CA-5256-01A-01D-1408-10	22	3	55
TCGA-CA-5797-01A-01D-1650-10	0	0	66
TCGA-CA-6715-01A-21D-1835-10	11	13	59
TCGA-CA-6718-01A-11D-1835-10	0	3917	0
TCGA-CA-6719-01A-11D-1835-10	27	13	74
TCGA-CK-4948-01B-11D-1650-10	28	0	80
TCGA-CK-5912-01A-11D-1650-10	19	3	35
TCGA-CK-5913-01A-11D-1650-10	588	2	195
TCGA-CK-5914-01A-11D-1650-10	43	11	88
TCGA-CK-5915-01A-11D-1650-10	15	0	73
TCGA-CK-5916-01A-11D-1650-10	1159	17	209
TCGA-CK-6746-01A-11D-1835-10	1082	42	0
TCGA-CK-6747-01A-11D-1835-10	28	10	88
TCGA-CM-4743-01A-01D-1719-10	953	5	156
TCGA-CM-4744-01A-01D-1408-10	4	11	134
TCGA-CM-4746-01A-01D-1408-10	494	12	216
TCGA-CM-4747-01A-01D-1408-10	39	0	61
TCGA-CM-4751-01A-02D-1835-10	46	0	48
TCGA-CM-4752-01A-01D-1408-10	14	11	106
TCGA-CM-5341-01A-01D-1408-10	11	0	150
TCGA-CM-5348-01A-21D-1719-10	16	25	146
TCGA-CM-5349-01A-21D-1719-10	13	10	81
TCGA-CM-5860-01A-01D-1650-10	0	10	107
TCGA-CM-5861-01A-01D-1650-10	1368	44	0
TCGA-CM-5862-01A-01D-1650-10	25	0	66
TCGA-CM-5864-01A-01D-1650-10	58	27	122
TCGA-CM-5868-01A-01D-1650-10	34	10	56
TCGA-CM-6161-01A-11D-1650-10	0	0	99
TCGA-CM-6163-01A-11D-1650-10	1	6	99
TCGA-CM-6164-01A-11D-1650-10	13	13	50
TCGA-CM-6165-01A-11D-1650-10	44	5	60
TCGA-CM-6166-01A-11D-1650-10	42	10	32
TCGA-CM-6167-01A-11D-1650-10	12	2	65
TCGA-CM-6168-01A-11D-1650-10	90	10	120
TCGA-CM-6169-01A-11D-1650-10	33	3	76
TCGA-CM-6170-01A-11D-1650-10	21	0	77
TCGA-CM-6171-01A-11D-1650-10	793	0	378
TCGA-CM-6172-01A-11D-1650-10	11	14	81
TCGA-CM-6674-01A-11D-1835-10	606	3	220
TCGA-CM-6675-01A-11D-1835-10	17	0	61
TCGA-CM-6676-01A-11D-1835-10	32	12	60
TCGA-CM-6677-01A-11D-1835-10	49	13	80
TCGA-CM-6678-01A-11D-1835-10	28	0	116
TCGA-CM-6679-01A-11D-1835-10	43	0	24
TCGA-CM-6680-01A-11D-1835-10	9	8	73
TCGA-D5-5537-01A-21D-1924-10	33	11	60
TCGA-D5-5538-01A-01D-1650-10	9	7	100
TCGA-D5-5540-01A-01D-1650-10	14	6	99
TCGA-D5-5541-01A-01D-1650-10	0	4	60
TCGA-D5-6529-01A-11D-1771-10	29	13	71
TCGA-D5-6530-01A-11D-1719-10	818	0	172
TCGA-D5-6531-01A-11D-1719-10	25	16	149
TCGA-D5-6532-01A-11D-1719-10	11	16	97
TCGA-D5-6533-01A-11D-1719-10	0	27	150
TCGA-D5-6535-01A-11D-1719-10	3	22	151
TCGA-D5-6536-01A-11D-1719-10	42	2	53
TCGA-D5-6537-01A-11D-1719-10	0	16	96
TCGA-D5-6538-01A-11D-1719-10	60	6	81
TCGA-D5-6539-01A-11D-1719-10	16	12	71
TCGA-D5-6541-01A-11D-1719-10	22	0	74
TCGA-D5-6898-01A-11D-1924-10	18	6	58
TCGA-D5-6920-01A-11D-1924-10	33	3	78
TCGA-D5-6922-01A-11D-1924-10	33	5	69
TCGA-D5-6924-01A-11D-1924-10	0	8	132
TCGA-D5-6926-01A-11D-1924-10	7	1	104
TCGA-D5-6927-01A-21D-1924-10	630	21	0
TCGA-D5-6931-01A-11D-1924-10	97	41	184
TCGA-D5-6932-01A-11D-1924-10	18	15	99
TCGA-DM-A0X9-01A-11D-A152-10	24	26	141
TCGA-DM-A0XD-01A-12D-A152-10	38	16	117
TCGA-DM-A0XF-01A-11D-A152-10	0	24	107
TCGA-DM-A1D0-01A-11D-A152-10	7	7	110
TCGA-DM-A1D4-01A-21D-A152-10	51	8	128
TCGA-DM-A1D8-01A-11D-A152-10	39	19	105
TCGA-DM-A1D9-01A-11D-A152-10	0	16	118
TCGA-DM-A1DA-01A-11D-A152-10	84	21	192
TCGA-DM-A1DB-01A-11D-A152-10	8	5	48
TCGA-DM-A1HA-01A-11D-A152-10	38	2	110
TCGA-DM-A28C-01A-11D-A16V-10	22	1	79
TCGA-DM-A28E-01A-11D-A16V-10	5	12	65
TCGA-DM-A28F-01A-11D-A16V-10	54	39	155
TCGA-DM-A28G-01A-11D-A16V-10	29	5	95
TCGA-DM-A28H-01A-11D-A16V-10	32	11	77
TCGA-DM-A28M-01A-12D-A16V-10	25	5	63
TCGA-F4-6459-01A-11D-1771-10	0	19	108
TCGA-F4-6460-01A-11D-1771-10	25	26	105
TCGA-F4-6461-01A-11D-1771-10	62	10	77
TCGA-F4-6569-01A-11D-1771-10	0	24	97
TCGA-F4-6570-01A-11D-1771-10	1498	73	36
TCGA-F4-6805-01A-11D-1835-10	18	1	52
TCGA-F4-6806-01A-11D-1835-10	23	6	79
TCGA-F4-6807-01A-11D-1835-10	19	19	135
TCGA-F4-6808-01A-11D-1835-10	18	4	116
TCGA-F4-6854-01A-11D-1924-10	0	7	112
TCGA-F4-6855-01A-11D-1924-10	16	8	85
TCGA-G4-6293-01A-11D-1719-10	20	11	91
TCGA-G4-6294-01A-11D-1806-10	70	12	78
TCGA-G4-6295-01A-11D-1719-10	24	15	112
TCGA-G4-6297-01A-11D-1719-10	4	14	71
TCGA-G4-6298-01A-11D-1719-10	14	3	60
TCGA-G4-6299-01A-11D-1771-10	55	15	93
TCGA-G4-6303-01A-11D-1771-10	9	13	84
TCGA-G4-6304-01A-11D-1924-10	842	32	0
TCGA-G4-6306-01A-11D-1771-10	54	6	64
TCGA-G4-6307-01A-11D-1719-10	18	15	45
TCGA-G4-6309-01A-21D-1835-10	425	0	323
TCGA-G4-6310-01A-11D-1719-10	26	11	73
TCGA-G4-6311-01A-11D-1719-10	19	10	123
TCGA-G4-6314-01A-11D-1719-10	40	9	102
TCGA-G4-6315-01A-11D-1719-10	32	7	113
TCGA-G4-6317-01A-11D-1719-10	0	5	102
TCGA-G4-6317-02A-11D-2067-10	47	13	71
TCGA-G4-6320-01A-11D-1719-10	628	25	406
TCGA-G4-6321-01A-11D-1719-10	4	5	54
TCGA-G4-6323-01A-11D-1719-10	43	0	44
TCGA-G4-6586-01A-11D-1771-10	845	17	230
TCGA-G4-6588-01A-11D-1771-10	2001	22	0
TCGA-G4-6625-01A-21D-1771-10	11	1	100
TCGA-G4-6626-01A-11D-1771-10	32	0	108
TCGA-G4-6627-01A-11D-2188-10	14	3	72
TCGA-G4-6628-01A-11D-1835-10	1929	14	0
TCGA-NH-A50T-01A-11D-A28G-10	15	18	115
TCGA-NH-A50V-01A-11D-A28G-10	56	7	107
TCGA-NH-A6GA-01A-11D-A36X-10	0	7	84
TCGA-NH-A6GB-01A-11D-A36X-10	29	9	128
TCGA-NH-A8F7-06A-31D-A40P-10	17	14	79
TCGA-NH-A8F8-01A-72D-A40P-10	21	0	84
TCGA-QG-A5YV-01A-11D-A28G-10	50	12	109
TCGA-QG-A5YW-01A-11D-A28G-10	40	17	105
TCGA-QG-A5YX-01A-11D-A28G-10	15	2	79
TCGA-QG-A5Z2-01A-11D-A28G-10	907	26	106
TCGA-QL-A97D-01A-12D-A40P-10	82	32	120
TCGA-SS-A7HO-01A-21D-A36X-10	36	0	136
TCGA-T9-A92H-01A-11D-A36X-10	55	7	124
