Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-44-2661-01A-01D-1105-08	8.79E-01	2.17E+00	8.54E-01	8.97E-01	1.73E+00
TCGA-44-2662-01A-01D-0969-08	3.42E+00	1.93E+00	2.46E+00	1.02E+00	2.54E+00
TCGA-44-2662-01A-01D-A271-08	3.54E+00	3.67E+00	3.22E+00	6.51E-01	3.36E+00
TCGA-44-2662-01A-01W-0928-08	2.27E+00	3.75E+00	2.86E+00	8.82E-01	2.61E+00
TCGA-44-2662-01B-02D-A271-08	3.88E+00	2.78E+00	2.95E+00	1.67E+00	1.35E+00
TCGA-44-2665-01A-01D-1040-01	5.00E-01	1.53E+00	1.59E+00	1.74E+00	2.93E+00
TCGA-44-2665-01A-01D-A271-08	4.07E-01	1.48E+00	1.01E+00	2.23E+00	1.82E+00
TCGA-44-2665-01A-01W-0928-08	4.00E-01	2.67E+00	1.51E+00	2.62E+00	3.64E+00
TCGA-44-2665-01B-06D-A271-08	2.00E-01	2.70E+00	1.41E+00	2.80E+00	2.56E+00
TCGA-44-2666-01A-01D-1489-08	7.33E-01	2.09E+00	8.23E-01	2.44E+00	9.19E-01
TCGA-44-2666-01A-01D-A271-08	1.07E+00	1.60E+00	9.89E-01	1.39E+00	4.53E-01
TCGA-44-2666-01A-01W-0928-08	8.00E-01	1.59E+00	8.54E-01	2.20E+00	8.23E-01
TCGA-44-2666-01A-21D-A27T-08	8.57E-01	1.13E+00	1.15E+00	1.40E+00	1.18E+00
TCGA-44-2666-01A-41D-A27T-08	8.57E-01	1.78E+00	8.67E-01	2.32E+00	1.41E+00
TCGA-44-2666-01B-02D-A271-08	9.29E-01	2.01E+00	7.61E-01	1.49E+00	8.72E-01
TCGA-44-2668-01A-01D-0969-08	5.40E+00	7.80E+00	2.80E+00	2.77E+00	4.05E+00
TCGA-44-2668-01A-01D-A271-08	5.36E+00	7.15E+00	1.94E+00	3.30E+00	3.90E+00
TCGA-44-2668-01A-01W-0928-08	6.05E+00	6.76E+00	2.82E+00	2.17E+00	6.21E+00
TCGA-44-2668-01B-02D-A271-08	3.29E+00	6.24E+00	2.93E+00	1.35E+00	3.87E+00
TCGA-44-3396-01A-01D-1553-08	2.59E+00	4.37E+00	2.71E+00	3.24E+00	3.03E+00
TCGA-44-3398-01A-01D-1105-08	2.28E+00	3.42E+00	2.43E+00	1.75E+00	1.78E+00
TCGA-44-3917-01A-01D-A271-08	4.69E+00	6.56E+00	2.45E+00	2.73E+00	1.80E+00
TCGA-44-3917-01B-02D-A271-08	6.30E+00	6.66E+00	2.12E+00	1.92E+00	1.80E+00
TCGA-44-3918-01B-02D-A271-08	1.40E+01	1.66E+01	4.67E+00	2.18E+00	1.03E+01
TCGA-44-3919-01A-02D-1105-08	1.51E+00	3.40E+00	9.43E-01	1.81E+00	1.40E+00
TCGA-44-3919-01A-02D-1458-08	9.09E-01	2.11E+00	1.02E+00	1.32E+00	7.63E-01
TCGA-44-4112-01A-01D-1105-08	1.13E+01	1.23E+01	1.85E+00	2.47E+00	4.12E+00
TCGA-44-4112-01A-01D-1458-08	8.78E+00	1.15E+01	2.59E+00	2.60E+00	4.55E+00
TCGA-44-4112-01A-22D-A27T-08	1.06E+01	1.10E+01	3.07E+00	2.67E+00	2.46E+00
TCGA-44-4112-01A-31D-A27T-08	7.60E+00	9.61E+00	2.62E+00	3.76E+00	3.96E+00
TCGA-44-4112-01B-06D-A271-08	8.48E+00	1.11E+01	3.08E+00	1.98E+00	2.99E+00
TCGA-44-5643-01A-01D-1625-08	4.96E+00	5.21E+00	1.86E+00	3.52E+00	1.52E+00
TCGA-44-5644-01A-21D-2036-08	2.16E+01	1.88E+01	3.88E+00	3.40E+00	5.86E+00
TCGA-44-5645-01A-01D-1625-08	0.00E+00	1.96E+00	0.00E+00	2.89E+00	2.39E+00
TCGA-44-5645-01A-01D-A271-08	4.67E-01	3.24E+00	0.00E+00	3.08E+00	2.56E+00
TCGA-44-5645-01A-21D-A27T-08	0.00E+00	2.68E+00	0.00E+00	2.03E+00	2.51E+00
TCGA-44-5645-01A-51D-A27T-08	0.00E+00	1.19E+00	0.00E+00	2.14E+00	2.51E+00
TCGA-44-5645-01B-04D-A271-08	2.00E-01	2.12E+00	0.00E+00	1.43E+00	3.24E+00
TCGA-44-6144-01A-11D-1753-08	6.34E+00	6.88E+00	2.02E+00	2.52E+00	3.62E+00
TCGA-44-6145-01A-11D-1753-08	7.38E+00	8.44E+00	2.21E+00	1.76E+00	2.55E+00
TCGA-44-6147-01A-11D-1753-08	7.15E+00	9.14E+00	1.53E+00	1.76E+00	3.91E+00
TCGA-44-6147-01A-11D-A271-08	6.06E+00	8.21E+00	2.51E+00	2.51E+00	2.88E+00
TCGA-44-6147-01A-21D-A27T-08	9.00E+00	1.01E+01	3.02E+00	3.13E+00	3.41E+00
TCGA-44-6147-01A-31D-A27T-08	5.78E+00	7.39E+00	1.24E+00	4.48E-01	2.91E+00
TCGA-44-6147-01B-06D-A271-08	6.32E+00	5.36E+00	1.75E+00	1.27E+00	2.30E+00
TCGA-44-6774-01A-21D-1855-08	1.14E+01	1.22E+01	1.41E+00	2.09E+00	2.09E+00
TCGA-44-6775-01A-11D-1855-08	1.76E+00	3.26E+00	1.01E+00	2.40E+00	1.70E+00
TCGA-44-6775-01A-11D-A271-08	1.79E+00	4.51E+00	9.33E-01	3.70E+00	1.84E+00
TCGA-44-6775-01A-21D-A27T-08	1.95E+00	3.04E+00	1.11E+00	1.50E+00	3.56E+00
TCGA-44-6775-01A-31D-A27T-08	2.23E+00	3.34E+00	1.30E+00	2.73E+00	3.71E+00
TCGA-44-6775-01C-02D-A271-08	1.58E+00	3.37E+00	9.21E-01	1.05E+00	3.09E+00
TCGA-44-6776-01A-11D-1855-08	7.10E+00	7.00E+00	1.63E+00	2.51E+00	1.85E+00
TCGA-44-6777-01A-11D-1855-08	7.53E+00	7.07E+00	3.76E+00	1.85E+00	3.47E+00
TCGA-44-6778-01A-11D-1855-08	1.24E+01	1.33E+01	3.37E+00	2.46E+00	4.96E+00
TCGA-44-6779-01A-11D-1855-08	4.48E+00	5.97E+00	1.37E+00	2.10E+00	1.51E+00
TCGA-44-7659-01A-11D-2063-08	4.06E+00	5.47E+00	1.61E+00	1.85E+00	5.15E+00
TCGA-44-7660-01A-11D-2063-08	6.12E+00	4.67E+00	2.24E+00	3.55E+00	9.78E+00
TCGA-44-7661-01A-11D-2063-08	4.93E+00	5.28E+00	1.98E+00	2.75E+00	2.81E+00
TCGA-44-7662-01A-11D-2063-08	1.16E+01	1.15E+01	2.41E+00	2.19E+00	5.04E+00
TCGA-44-7667-01A-31D-2063-08	1.79E+01	1.97E+01	2.76E+00	4.29E+00	4.58E+00
TCGA-44-7670-01A-11D-2063-08	2.46E+01	2.55E+01	5.75E+00	4.81E+00	5.39E+00
TCGA-44-7671-01A-11D-2063-08	7.26E+00	7.91E+00	1.66E+00	2.31E+00	2.01E+00
TCGA-44-7672-01A-11D-2063-08	5.19E+00	2.85E+00	1.48E+00	2.26E+00	2.08E+00
TCGA-44-8117-01A-11D-2238-08	1.60E+01	1.66E+01	3.31E+00	3.54E+00	7.48E+00
TCGA-44-8119-01A-11D-2238-08	2.27E+01	2.21E+01	3.07E+00	4.40E+00	6.30E+00
TCGA-44-8120-01A-11D-2238-08	2.61E+01	2.99E+01	2.90E+00	3.74E+00	3.26E+00
TCGA-44-A479-01A-31D-A24D-08	8.10E+00	8.73E+00	1.73E+00	1.82E+00	3.52E+00
TCGA-44-A47A-01A-21D-A24D-08	5.31E+00	3.88E+00	2.34E+00	3.50E+00	2.73E+00
TCGA-44-A47G-01A-21D-A24D-08	2.20E+00	3.07E+00	1.24E+00	1.08E+00	2.02E+00
TCGA-44-A4SS-01A-11D-A24P-08	7.34E+00	6.96E+00	2.85E+00	4.84E+00	6.56E+00
TCGA-44-A4SU-01A-11D-A24P-08	6.02E+00	6.51E+00	9.64E-01	1.65E+00	1.02E+00
TCGA-49-4487-01A-21D-1855-08	9.77E+00	1.04E+01	3.46E+00	2.30E+00	3.51E+00
TCGA-49-4488-01A-01D-1753-08	8.02E+00	8.86E+00	2.08E+00	2.51E+00	4.94E+00
TCGA-49-4490-01A-21D-1855-08	0.00E+00	3.00E+00	1.02E+00	1.74E+00	2.12E+00
TCGA-49-4494-01A-01D-1265-08	5.30E+00	7.55E+00	1.68E+00	2.25E+00	6.18E-01
TCGA-49-4501-01A-01D-1265-08	8.00E-01	1.80E+00	7.75E-01	2.19E+00	2.17E+00
TCGA-49-4505-01A-01D-1931-08	5.89E+00	6.50E+00	2.40E+00	2.31E+00	1.35E+00
TCGA-49-4506-01A-01D-1265-08	2.72E+00	4.75E+00	1.27E+00	2.22E+00	3.46E+00
TCGA-49-4510-01A-01D-1265-08	9.94E-01	4.04E+00	1.18E+00	1.56E+00	2.25E+00
TCGA-49-4512-01A-21D-1855-08	1.70E+00	1.25E+00	1.12E+00	7.81E-01	1.27E+00
TCGA-49-4514-01A-21D-1855-08	7.73E+00	1.14E+01	4.05E+00	2.09E+00	1.71E+00
TCGA-49-6743-01A-11D-1855-08	9.06E+00	1.09E+01	7.22E+00	3.73E+00	1.47E+01
TCGA-49-6744-01A-11D-1855-08	6.31E+00	6.84E+00	2.60E+00	1.46E+00	1.69E+00
TCGA-49-6745-01A-11D-1855-08	1.00E+00	2.04E+00	1.67E+00	2.34E+00	1.32E+00
TCGA-49-6761-01A-31D-1945-08	1.87E+00	4.56E+00	3.21E+00	1.35E+00	3.66E+00
TCGA-49-AAQV-01A-11D-A397-08	9.07E-01	2.43E+00	1.45E+00	2.03E+00	5.26E-01
TCGA-49-AAR0-01A-21D-A397-08	5.57E+00	5.73E+00	2.10E+00	2.18E+00	1.96E+00
TCGA-49-AAR3-01A-11D-A410-08	1.89E+00	4.48E+00	1.22E+00	1.41E+00	3.92E+00
TCGA-49-AAR4-01A-12D-A410-08	1.30E+01	9.27E+00	3.83E+00	3.24E+00	4.83E+00
TCGA-49-AAR9-01A-21D-A410-08	2.42E+01	2.54E+01	2.09E+00	2.44E+00	5.16E+00
TCGA-49-AARE-01A-11D-A410-08	2.90E+01	2.10E+01	4.84E+00	5.25E+00	1.41E+01
TCGA-49-AARN-01A-21D-A410-08	1.37E+01	1.04E+01	1.45E+01	1.34E+00	1.97E+01
TCGA-49-AARO-01A-12D-A410-08	1.47E+01	1.57E+01	3.25E+00	1.55E+00	3.85E+00
TCGA-49-AARQ-01A-11D-A410-08	1.71E+01	1.89E+01	3.98E+00	2.28E+00	4.18E+00
TCGA-49-AARR-01A-11D-A410-08	1.33E-01	1.00E-01	0.00E+00	1.00E-01	0.00E+00
TCGA-4B-A93V-01A-11D-A397-08	4.18E+00	4.01E+00	1.64E+00	1.17E+00	2.12E+00
TCGA-50-5044-01A-21D-1855-08	8.46E-01	1.97E+00	1.40E+00	1.49E+00	1.69E+00
TCGA-50-5045-01A-01D-1625-08	7.90E+00	8.18E+00	1.58E+00	1.59E+00	8.88E-01
TCGA-50-5051-01A-21D-1855-08	4.04E+00	3.06E+00	1.23E+00	2.21E+00	1.10E+00
TCGA-50-5055-01A-01D-1625-08	1.33E-01	5.62E-01	3.71E-01	7.63E-01	2.00E-01
TCGA-50-5066-01A-01D-1625-08	7.78E+00	7.17E+00	2.08E+00	1.41E+00	6.46E+00
TCGA-50-5066-02A-11D-2107-08	5.90E+00	9.07E+00	1.06E+00	2.58E+00	7.48E+00
TCGA-50-5068-01A-01D-1625-08	3.64E+00	4.61E+00	1.57E+00	2.08E+00	2.40E+00
TCGA-50-5072-01A-21D-1855-08	4.20E+00	4.73E+00	1.83E+00	2.09E+00	3.96E+00
TCGA-50-5930-01A-11D-1753-08	2.96E+01	3.18E+01	3.35E+00	4.63E+00	3.25E+00
TCGA-50-5931-01A-11D-1753-08	6.60E+00	8.62E+00	1.31E+00	2.02E+00	5.25E+00
TCGA-50-5932-01A-11D-1753-08	2.37E+00	2.19E+00	1.15E+00	1.43E+00	1.13E+00
TCGA-50-5935-01A-11D-1753-08	8.00E-01	3.53E+00	1.53E+00	1.56E+00	1.94E+00
TCGA-50-5939-01A-11D-1625-08	1.07E+00	2.96E+00	9.75E-01	2.06E+00	2.33E+00
TCGA-50-5941-01A-11D-1753-08	7.98E+00	6.93E+00	2.18E+00	1.79E+00	4.06E+00
TCGA-50-5942-01A-21D-1753-08	1.33E+00	2.21E+00	4.82E-01	7.27E-01	2.17E+00
TCGA-50-5946-01A-11D-1753-08	1.20E+01	1.45E+01	5.68E+00	3.64E+00	7.59E+00
TCGA-50-5946-02A-11D-2107-08	1.67E+01	1.64E+01	4.03E+00	3.98E+00	6.51E+00
TCGA-50-6590-01A-12D-1855-08	1.63E+01	1.81E+01	3.49E+00	2.41E+00	6.63E+00
TCGA-50-6591-01A-11D-1753-08	1.37E+00	2.56E+00	8.41E-01	2.30E+00	3.26E+00
TCGA-50-6592-01A-11D-1753-08	9.73E+00	7.43E+00	3.31E+00	2.60E+00	3.18E+00
TCGA-50-6593-01A-11D-1753-08	6.40E+00	8.74E+00	2.31E+00	2.91E+00	6.32E+00
TCGA-50-6594-01A-11D-1753-08	1.14E+01	1.17E+01	3.84E+00	1.84E+00	4.55E+00
TCGA-50-6595-01A-12D-1855-08	1.65E+00	4.76E+00	2.39E+00	1.25E+00	2.52E+00
TCGA-50-6597-01A-11D-1855-08	8.57E-01	2.05E+00	2.03E+00	1.38E+00	2.16E+00
TCGA-50-6673-01A-11D-1945-08	7.89E-01	3.07E+00	7.49E-01	2.92E+00	1.74E+00
TCGA-50-7109-01A-11D-2036-08	3.09E+00	3.37E+00	1.07E+00	1.68E+00	3.81E+00
TCGA-50-8457-01A-11D-2323-08	2.08E+00	2.84E+00	9.07E-01	1.66E+00	1.97E+00
TCGA-50-8460-01A-11D-2323-08	7.16E-01	1.48E+00	9.57E-01	1.01E+00	1.93E+00
TCGA-53-7624-01A-11D-2063-08	1.68E+01	1.50E+01	4.90E+00	3.97E+00	4.92E+00
TCGA-53-7626-01A-12D-2063-08	5.60E+00	7.93E+00	1.28E+00	1.54E+00	3.69E+00
TCGA-53-7813-01A-11D-2167-08	3.68E+00	4.12E+00	1.23E+00	1.91E+00	7.81E-01
TCGA-55-1592-01A-01D-0969-08	9.08E+00	1.01E+01	3.65E+00	3.17E+00	1.21E+01
TCGA-55-1592-01A-01W-0928-08	1.10E+01	1.02E+01	4.06E+00	3.05E+00	1.21E+01
TCGA-55-1594-01A-01D-1040-01	3.01E+00	4.19E+00	2.75E+00	2.16E+00	2.54E+00
TCGA-55-1594-01A-01W-0928-08	3.89E+00	4.36E+00	1.54E+00	2.65E+00	2.65E+00
TCGA-55-1595-01A-01D-0969-08	1.45E+01	1.52E+01	1.10E+00	3.13E+00	2.43E+00
TCGA-55-1596-01A-01D-1040-01	5.61E+00	8.30E+00	1.71E+00	1.81E+00	7.15E+00
TCGA-55-1596-01A-01W-0928-08	3.91E+00	5.13E+00	1.83E+00	2.06E+00	6.22E+00
TCGA-55-5899-01A-11D-1625-08	1.04E+01	1.04E+01	2.76E+00	3.04E+00	2.80E+00
TCGA-55-6543-01A-11D-1753-08	4.16E-01	1.47E+00	3.27E-01	1.48E+00	3.40E-01
TCGA-55-6642-01A-11D-1855-08	2.88E+00	4.07E+00	1.45E+00	2.67E+00	1.78E+00
TCGA-55-6712-01A-11D-1855-08	2.26E+00	3.69E+00	2.11E+00	2.55E+00	3.19E+00
TCGA-55-6968-01A-11D-1945-08	6.50E+00	9.03E+00	4.31E+00	3.30E+00	1.85E+00
TCGA-55-6969-01A-11D-1945-08	7.60E+00	9.33E+00	3.29E+00	2.54E+00	3.84E+00
TCGA-55-6971-01A-11D-1945-08	1.71E+00	3.64E+00	1.06E+00	0.00E+00	4.05E+00
TCGA-55-6972-01A-11D-1945-08	3.30E+00	5.16E+00	4.35E+00	2.09E+00	2.51E+00
TCGA-55-6975-01A-11D-1945-08	3.00E+00	3.22E+00	1.71E+00	1.96E+00	1.67E+00
TCGA-55-6978-01A-11D-1945-08	0.00E+00	2.66E+00	0.00E+00	1.37E+00	2.71E+00
