Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-44-6775-01C-02D-A271-08	8	26	3	11	7
TCGA-44-6776-01A-11D-1855-08	128	39	11	17	5
TCGA-44-6777-01A-11D-1855-08	197	44	81	36	14
TCGA-44-6778-01A-11D-1855-08	244	93	20	25	23
TCGA-44-6779-01A-11D-1855-08	37	8	8	39	9
TCGA-44-7659-01A-11D-2063-08	76	41	12	8	15
TCGA-44-7660-01A-11D-2063-08	142	158	39	22	0
TCGA-44-7661-01A-11D-2063-08	144	47	44	18	8
TCGA-44-7662-01A-11D-2063-08	343	106	73	18	44
TCGA-44-7667-01A-31D-2063-08	281	95	25	45	38
TCGA-44-7670-01A-11D-2063-08	798	54	165	47	72
TCGA-44-7671-01A-11D-2063-08	116	86	14	24	0
TCGA-44-7672-01A-11D-2063-08	100	38	8	11	5
TCGA-44-8117-01A-11D-2238-08	615	75	49	57	16
TCGA-44-8119-01A-11D-2238-08	402	112	30	75	47
TCGA-44-8120-01A-11D-2238-08	459	99	43	44	0
TCGA-44-A479-01A-31D-A24D-08	233	0	27	18	17
TCGA-44-A47A-01A-21D-A24D-08	49	72	68	27	0
TCGA-44-A47G-01A-21D-A24D-08	12	25	16	9	7
TCGA-44-A4SS-01A-11D-A24P-08	263	104	56	29	39
TCGA-44-A4SU-01A-11D-A24P-08	66	46	8	27	3
TCGA-49-4487-01A-21D-1855-08	194	88	65	5	0
TCGA-49-4488-01A-01D-1753-08	223	0	31	10	35
TCGA-49-4490-01A-21D-1855-08	0	18	9	11	2
TCGA-49-4494-01A-01D-1265-08	131	34	13	22	0
TCGA-49-4501-01A-01D-1265-08	2	3	9	21	11
TCGA-49-4505-01A-01D-1931-08	127	20	20	40	15
TCGA-49-4506-01A-01D-1265-08	61	20	6	15	14
TCGA-49-4510-01A-01D-1265-08	20	12	6	4	5
TCGA-49-4512-01A-21D-1855-08	7	0	5	15	9
TCGA-49-4514-01A-21D-1855-08	146	39	113	31	11
TCGA-49-6743-01A-11D-1855-08	303	115	219	36	102
TCGA-49-6744-01A-11D-1855-08	148	45	11	7	2
TCGA-49-6745-01A-11D-1855-08	1	5	70	32	21
TCGA-49-6761-01A-31D-1945-08	52	13	75	16	31
TCGA-49-AAQV-01A-11D-A397-08	3	22	29	7	0
TCGA-49-AAR0-01A-21D-A397-08	61	4	20	27	24
TCGA-49-AAR3-01A-11D-A410-08	52	40	17	5	9
TCGA-49-AAR4-01A-12D-A410-08	338	83	110	12	30
TCGA-49-AAR9-01A-21D-A410-08	505	108	23	46	3
TCGA-49-AARE-01A-11D-A410-08	928	121	99	56	76
TCGA-49-AARN-01A-21D-A410-08	191	0	75	0	526
TCGA-49-AARO-01A-12D-A410-08	537	30	39	3	17
TCGA-49-AARQ-01A-11D-A410-08	534	92	100	31	0
TCGA-49-AARR-01A-11D-A410-08	1	0	0	0	0
TCGA-4B-A93V-01A-11D-A397-08	75	28	11	11	18
TCGA-50-5044-01A-21D-1855-08	0	20	106	4	0
TCGA-50-5045-01A-01D-1625-08	249	9	21	7	0
TCGA-50-5051-01A-21D-1855-08	69	18	8	21	0
TCGA-50-5055-01A-01D-1625-08	0	5	1	4	0
TCGA-50-5066-01A-01D-1625-08	158	48	26	4	36
TCGA-50-5066-02A-11D-2107-08	187	97	26	18	58
TCGA-50-5068-01A-01D-1625-08	33	22	9	27	0
TCGA-50-5072-01A-21D-1855-08	80	27	19	16	24
TCGA-50-5930-01A-11D-1753-08	945	111	23	41	47
TCGA-50-5931-01A-11D-1753-08	176	95	26	19	6
TCGA-50-5932-01A-11D-1753-08	55	15	2	6	0
TCGA-50-5935-01A-11D-1753-08	0	25	56	11	2
TCGA-50-5939-01A-11D-1625-08	6	18	18	15	16
TCGA-50-5941-01A-11D-1753-08	226	105	33	16	0
TCGA-50-5942-01A-21D-1753-08	28	10	2	4	12
TCGA-50-5946-01A-11D-1753-08	392	86	161	56	0
TCGA-50-5946-02A-11D-2107-08	403	97	181	58	1
TCGA-50-6590-01A-12D-1855-08	534	148	190	12	19
TCGA-50-6591-01A-11D-1753-08	5	19	6	10	10
TCGA-50-6592-01A-11D-1753-08	98	103	59	22	18
TCGA-50-6593-01A-11D-1753-08	191	62	16	19	35
TCGA-50-6594-01A-11D-1753-08	377	77	58	15	20
TCGA-50-6595-01A-12D-1855-08	11	23	23	7	16
TCGA-50-6597-01A-11D-1855-08	1	1	20	15	17
TCGA-50-6673-01A-11D-1945-08	1	17	7	21	5
TCGA-50-7109-01A-11D-2036-08	147	54	8	30	12
TCGA-50-8457-01A-11D-2323-08	18	19	5	10	3
