Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-AZ-6601-01A-11D-1771-10	930	1133	5	0	281	33
TCGA-AZ-6603-01A-11D-1835-10	0	25	1	17	9	23
TCGA-AZ-6605-01A-11D-1835-10	5	18	0	22	26	33
TCGA-AZ-6606-01A-11D-1835-10	2	49	4	0	14	72
TCGA-AZ-6608-01A-11D-1835-10	16	21	1	8	22	82
TCGA-CA-5254-01A-21D-1835-10	20	84	2	0	18	79
TCGA-CA-5255-01A-11D-1835-10	5	9	1	7	5	17
TCGA-CA-5256-01A-01D-1408-10	1	44	4	0	15	16
TCGA-CA-5797-01A-01D-1650-10	2	10	0	3	7	44
TCGA-CA-6715-01A-21D-1835-10	0	30	7	8	16	22
TCGA-CA-6718-01A-11D-1835-10	0	0	2873	1005	0	39
TCGA-CA-6719-01A-11D-1835-10	0	54	7	11	26	16
TCGA-CK-4948-01B-11D-1650-10	9	48	2	0	10	39
TCGA-CK-5912-01A-11D-1650-10	9	22	0	7	0	19
TCGA-CK-5913-01A-11D-1650-10	234	243	0	0	308	0
TCGA-CK-5914-01A-11D-1650-10	21	57	6	10	0	48
TCGA-CK-5915-01A-11D-1650-10	0	42	0	0	30	16
TCGA-CK-5916-01A-11D-1650-10	511	411	0	0	463	0
TCGA-CK-6746-01A-11D-1835-10	578	155	0	32	359	0
TCGA-CK-6747-01A-11D-1835-10	2	72	1	19	0	32
TCGA-CM-4743-01A-01D-1719-10	429	280	0	0	374	31
TCGA-CM-4744-01A-01D-1408-10	0	66	11	1	19	52
TCGA-CM-4746-01A-01D-1408-10	287	418	17	0	0	0
TCGA-CM-4747-01A-01D-1408-10	19	49	1	0	0	31
TCGA-CM-4751-01A-02D-1835-10	24	51	0	0	0	19
TCGA-CM-4752-01A-01D-1408-10	0	59	5	10	32	25
TCGA-CM-5341-01A-01D-1408-10	0	70	0	0	17	74
TCGA-CM-5348-01A-21D-1719-10	4	54	0	42	2	85
TCGA-CM-5349-01A-21D-1719-10	0	52	0	18	15	19
TCGA-CM-5860-01A-01D-1650-10	0	43	3	11	16	44
TCGA-CM-5861-01A-01D-1650-10	707	48	0	50	607	0
TCGA-CM-5862-01A-01D-1650-10	6	45	2	0	8	30
TCGA-CM-5864-01A-01D-1650-10	35	24	7	20	26	95
TCGA-CM-5868-01A-01D-1650-10	12	28	6	3	24	27
TCGA-CM-6161-01A-11D-1650-10	0	34	1	0	22	42
TCGA-CM-6163-01A-11D-1650-10	0	38	1	10	9	48
