Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-AA-A029-01A-01W-A00E-09	0	29	6	7	5	38	0
TCGA-AA-A02E-01A-01W-A00E-09	0	17	3	2	28	51	61
TCGA-AA-A02H-01A-01W-A00E-09	9	18	11	6	0	29	0
TCGA-AA-A02J-01A-01W-A00E-09	3	8	27	6	2	33	48
TCGA-AA-A02K-01A-21W-A096-10	18	29	8	0	16	33	35
TCGA-AA-A02O-01A-21W-A096-10	0	72	6	0	17	54	16
TCGA-AA-A02R-01A-01W-A00E-09	404	150	0	0	374	81	55
TCGA-AA-A02W-01A-01W-A00E-09	14	32	1	2	2	17	27
TCGA-AA-A02Y-01A-43W-A096-10	0	31	22	6	3	39	11
TCGA-AA-A03J-01A-21W-A096-10	0	30	11	1	17	42	0
TCGA-AD-6548-01A-11D-1835-10	0	47	2	0	17	63	0
TCGA-AD-6888-01A-11D-1924-10	13	57	15	0	2	6	12
TCGA-AD-6889-01A-11D-1924-10	845	296	0	0	374	123	0
TCGA-AD-6890-01A-11D-1924-10	2	61	2	6	0	23	17
TCGA-AD-6895-01A-11D-1924-10	765	293	145	0	61	231	241
TCGA-AD-6901-01A-11D-1924-10	27	53	28	9	19	83	51
TCGA-AD-6963-01A-11D-1924-10	7	20	0	0	4	5	39
TCGA-AD-6964-01A-11D-1924-10	833	0	0	0	551	239	0
TCGA-AD-6965-01A-11D-1924-10	18	53	6	5	5	19	27
TCGA-AD-A5EJ-01A-11D-A28G-10	735	224	0	0	361	99	19
TCGA-AD-A5EK-01A-11D-A28G-10	19	27	0	4	0	37	17
TCGA-AM-5820-01A-01D-1650-10	5	26	0	6	0	1	28
TCGA-AU-3779-01A-01D-1719-10	11	49	0	11	0	30	13
TCGA-AU-6004-01A-11D-1719-10	306	313	16	0	259	0	0
TCGA-AY-4071-01A-01W-1073-09	0	12	17	0	8	39	45
TCGA-AY-5543-01A-01D-1650-10	6	42	5	7	16	26	17
TCGA-AY-6197-01A-11D-1719-10	406	45	0	0	577	44	0
TCGA-AY-6386-01A-21D-1719-10	0	49	9	0	15	39	0
TCGA-AY-A54L-01A-11D-A28G-10	29	27	14	4	7	42	25
TCGA-AY-A69D-01A-11D-A36X-10	1	76	23	12	19	70	6
TCGA-AY-A71X-01A-12D-A36X-10	9	40	16	0	0	8	13
TCGA-AY-A8YK-01A-11D-A40P-10	25	27	5	2	3	9	8
TCGA-AZ-4308-01A-01D-1408-10	0	9	14	0	12	29	4
TCGA-AZ-4313-01A-01D-1408-10	105	983	0	0	76	14	0
TCGA-AZ-4315-01A-01D-1408-10	157	101	4723	2089	142	0	0
TCGA-AZ-4614-01A-01D-1408-10	0	29	0	0	39	38	85
TCGA-AZ-4615-01A-01D-1408-10	345	243	0	0	335	51	0
TCGA-AZ-4681-01A-01D-1408-10	1	28	1	0	4	24	21
TCGA-AZ-5403-01A-01D-1650-10	9	12	8	8	0	12	28
TCGA-AZ-5407-01A-01D-1719-10	9	42	0	6	0	19	26
TCGA-AZ-6598-01A-11D-1771-10	1357	496	77	0	197	0	48
TCGA-AZ-6599-01A-11D-1771-10	27	0	45	0	0	188	3
TCGA-AZ-6600-01A-11D-1771-10	2	40	6	10	11	31	42
TCGA-AZ-6601-01A-11D-1771-10	964	1070	0	0	246	102	0
TCGA-AZ-6603-01A-11D-1835-10	0	28	17	0	6	24	0
TCGA-AZ-6605-01A-11D-1835-10	10	19	21	0	13	34	7
TCGA-AZ-6606-01A-11D-1835-10	5	47	0	2	11	60	16
TCGA-AZ-6608-01A-11D-1835-10	1	4	10	0	12	0	123
TCGA-CA-5254-01A-21D-1835-10	23	78	0	2	11	60	29
TCGA-CA-5255-01A-11D-1835-10	6	8	7	1	3	15	4
TCGA-CA-5256-01A-01D-1408-10	6	44	0	3	8	19	0
