Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-69-7978-01A-11D-2184-08	295	27	178	83	33	0
TCGA-69-8253-01A-11D-2284-08	66	48	22	0	17	14
TCGA-69-8254-01A-11D-2284-08	14	12	3	20	19	7
TCGA-69-8255-01A-11D-2284-08	69	126	37	13	25	30
TCGA-69-A59K-01A-11D-A25L-08	376	0	55	11	53	13
TCGA-71-6725-01A-11D-1855-08	1	13	6	0	34	3
TCGA-71-8520-01A-11D-2393-08	20	0	17	10	37	8
TCGA-73-4658-01A-01D-1753-08	100	63	126	0	9	34
TCGA-73-4659-01A-01D-1265-08	94	96	7	0	17	8
TCGA-73-4662-01A-01D-1265-08	105	56	18	20	12	2
TCGA-73-4670-01A-01D-1265-08	176	55	14	44	24	53
TCGA-73-4675-01A-01D-1265-08	8	11	3	27	15	5
TCGA-73-4676-01A-01D-1753-08	27	0	3	38	17	13
TCGA-73-4677-01A-01D-1265-08	152	24	18	36	24	11
TCGA-73-7498-01A-12D-2184-08	37	52	1	0	19	8
TCGA-75-5122-01A-01D-1753-08	31	39	23	20	21	0
TCGA-75-5125-01A-01D-1753-08	50	17	42	28	21	6
TCGA-75-5126-01A-01D-1753-08	341	0	169	81	26	5
TCGA-75-5146-01A-01D-1625-08	130	0	13	40	4	6
TCGA-75-5147-01A-01D-1625-08	0	1	11	10	10	4
TCGA-75-6203-01A-11D-1753-08	1	0	0	0	12	0
TCGA-75-6205-01A-11D-1753-08	0	15	3	15	3	7
TCGA-75-6206-01A-11D-1753-08	21	50	9	11	1	0
TCGA-75-6207-01A-11D-1753-08	9	0	14	24	11	0
TCGA-75-6211-01A-11D-1753-08	224	69	20	53	21	5
TCGA-75-6214-01A-41D-1945-08	299	156	175	72	33	0
TCGA-75-7025-01A-12D-1945-08	0	0	8	0	18	4
TCGA-75-7027-01A-11D-1945-08	132	24	11	54	22	7
TCGA-75-7030-01A-11D-1945-08	3	0	0	1	3	1
TCGA-78-7145-01A-11D-2036-08	105	49	13	6	20	4
TCGA-78-7146-01A-11D-2036-08	167	51	96	13	42	13
TCGA-78-7147-01A-11D-2036-08	100	139	52	22	25	25
TCGA-78-7148-01A-11D-2036-08	88	64	9	37	7	15
TCGA-78-7149-01A-11D-2036-08	34	0	75	17	16	6
TCGA-78-7150-01A-21D-2036-08	88	117	148	21	35	26
TCGA-78-7152-01A-11D-2036-08	65	3	85	41	9	3
TCGA-78-7153-01A-11D-2036-08	18	2	26	31	19	8
TCGA-78-7154-01A-11D-2036-08	43	0	111	50	48	14
TCGA-78-7155-01A-11D-2036-08	995	111	129	227	54	64
TCGA-78-7160-01A-11D-2036-08	2	0	5	30	4	0
TCGA-78-7161-01A-11D-2036-08	105	14	14	31	23	11
TCGA-78-7162-01A-21D-2063-08	23	19	16	21	5	3
TCGA-78-7163-01A-12D-2063-08	1	4	0	0	9	5
TCGA-78-7166-01A-12D-2063-08	172	20	4	10	10	24
TCGA-78-7167-01A-11D-2063-08	27	13	30	0	21	9
TCGA-78-7220-01A-11D-2036-08	373	320	114	0	22	60
TCGA-78-7535-01A-11D-2063-08	67	51	0	19	7	40
TCGA-78-7536-01A-11D-2063-08	403	34	17	115	32	52
TCGA-78-7539-01A-11D-2063-08	111	0	285	80	39	0
TCGA-78-7540-01A-11D-2063-08	0	14	0	0	16	0
TCGA-78-7542-01A-21D-2063-08	255	30	32	0	33	35
TCGA-78-7633-01A-11D-2063-08	38	57	6	3	5	0
TCGA-78-8640-01A-11D-2393-08	327	102	125	99	56	48
TCGA-78-8648-01A-11D-2393-08	2	2	0	2	0	1
TCGA-78-8655-01A-11D-2393-08	34	28	6	17	15	5
TCGA-78-8662-01A-11D-2393-08	712	87	99	224	47	57
TCGA-80-5607-01A-31D-1945-08	0	0	117	6	6	2
TCGA-80-5608-01A-31D-1945-08	99	27	13	17	24	0
TCGA-80-5611-01A-01D-1625-08	56	15	7	81	16	23
TCGA-83-5908-01A-21D-2284-08	93	16	88	32	16	0
TCGA-86-6562-01A-11D-1753-08	8	0	13	9	17	6
TCGA-86-6851-01A-11D-1945-08	518	82	107	211	0	0
