"Hugo_Symbol","LUAD","COAD","pval","or","ci.up","ci.low","adjPval"
"C1R",2,13,0.000198456391272549,0.0962081115728693,0.428988238300244,0.0104727067345465,0.0130920762948473
"EHD2",2,13,0.000198456391272549,0.0962081115728693,0.428988238300244,0.0104727067345465,0.0130920762948473
"NEMF",2,13,0.000198456391272549,0.0962081115728693,0.428988238300244,0.0104727067345465,0.0130920762948473
"PYGB",2,13,0.000198456391272549,0.0962081115728693,0.428988238300244,0.0104727067345465,0.0130920762948473
"SORCS2",2,13,0.000198456391272549,0.0962081115728693,0.428988238300244,0.0104727067345465,0.0130920762948473
"OR2G2",32,4,0.000201051140306628,5.42709357903043,21.3160538753867,1.899511704075,0.0130920762948473
"MMRN1",41,7,0.000204201248753901,4.01117287122158,10.7226909225669,1.75396334534081,0.0130920762948473
"C1GALT1C1L",0,9,0.000207027408542221,0,0.321700064367965,0,0.0130920762948473
"CCDC125",0,9,0.000207027408542221,0,0.321700064367965,0,0.0130920762948473
"COPS6",0,9,0.000207027408542221,0,0.321700064367965,0,0.0130920762948473
"CWF19L1",0,9,0.000207027408542221,0,0.321700064367965,0,0.0130920762948473
"DENND6A",0,9,0.000207027408542221,0,0.321700064367965,0,0.0130920762948473
"DYNC1I2",0,9,0.000207027408542221,0,0.321700064367965,0,0.0130920762948473
"ERMP1",0,9,0.000207027408542221,0,0.321700064367965,0,0.0130920762948473
"MFSD5",0,9,0.000207027408542221,0,0.321700064367965,0,0.0130920762948473
"TNFRSF10A",0,9,0.000207027408542221,0,0.321700064367965,0,0.0130920762948473
"WDR26",0,9,0.000207027408542221,0,0.321700064367965,0,0.0130920762948473
"WHAMM",0,9,0.000207027408542221,0,0.321700064367965,0,0.0130920762948473
"ZNF205",0,9,0.000207027408542221,0,0.321700064367965,0,0.0130920762948473
"CACNA1H",21,36,0.000210036436748244,0.3515819094231,0.631700789467015,0.191229703012405,0.0131296915086819
"PCDH9",21,36,0.000210036436748244,0.3515819094231,0.631700789467015,0.191229703012405,0.0131296915086819
"DOCK1",10,24,0.00022471527462957,0.255527911020959,0.563080564546253,0.107588395011921,0.0138472389157837
"IGKV2D-24",17,0,0.00022645843971512,Inf,Inf,2.72772319488679,0.0138472389157837
"KIAA1217",7,20,0.000229124302581151,0.216124030265536,0.539452972443281,0.0763294117098718,0.0138472389157837
"ZC3H18",7,20,0.000229124302581151,0.216124030265536,0.539452972443281,0.0763294117098718,0.0138472389157837
"DIO2",26,2,0.000231561056193183,8.76545477271048,76.601709097378,2.17022974590939,0.0138472389157837
"ATCAY",1,11,0.000239338137001686,0.0570939456234141,0.39608920259486,0.00132534651658412,0.0138472389157837
"EHD4",1,11,0.000239338137001686,0.0570939456234141,0.39608920259486,0.00132534651658412,0.0138472389157837
"IKZF4",1,11,0.000239338137001686,0.0570939456234141,0.39608920259486,0.00132534651658412,0.0138472389157837
"KIAA0825",1,11,0.000239338137001686,0.0570939456234141,0.39608920259486,0.00132534651658412,0.0138472389157837
"KIFC3",1,11,0.000239338137001686,0.0570939456234141,0.39608920259486,0.00132534651658412,0.0138472389157837
"KLF3",1,11,0.000239338137001686,0.0570939456234141,0.39608920259486,0.00132534651658412,0.0138472389157837
"PLEKHA2",1,11,0.000239338137001686,0.0570939456234141,0.39608920259486,0.00132534651658412,0.0138472389157837
"RING1",1,11,0.000239338137001686,0.0570939456234141,0.39608920259486,0.00132534651658412,0.0138472389157837
"TARBP2",1,11,0.000239338137001686,0.0570939456234141,0.39608920259486,0.00132534651658412,0.0138472389157837
"DNAH5",62,72,0.000245361931186469,0.497978567947453,0.733695687806503,0.337207544410325,0.0140889253750063
"CHST15",4,16,0.000250174549088158,0.155439294138834,0.48744726907583,0.0374962129160875,0.0140889253750063
