"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"TRRAP",4,2,0,0,31,1,0,0,0,38,31,31
"COL22A1",0,0,0,0,30,3,0,3,0,36,31,31
"ERBB4",4,1,0,0,29,0,0,2,0,36,31,31
"MBD6",25,0,0,0,7,0,0,2,1,35,31,31
"GRIN2A",4,0,0,0,29,0,0,0,0,33,31,31
"ZFHX3",3,3,0,0,27,0,0,0,0,33,31,31
"DNAH9",3,0,0,0,44,5,0,0,0,52,30,30
"CMYA5",4,0,0,0,41,4,0,0,0,49,30,30
"NAV3",6,1,0,0,38,3,0,1,0,49,30,30
"DNAH1",0,0,0,0,46,0,0,0,0,46,30,30
"DNAH3",4,0,0,0,33,8,0,0,0,45,30,30
"ROS1",3,1,0,0,35,3,1,1,0,44,30,30
"IGF2R",7,1,1,0,32,2,0,0,0,43,30,30
"LRRK2",6,2,0,0,28,7,0,0,0,43,30,30
"SRCAP",9,5,1,0,23,2,0,0,0,40,30,30
"RNF213",1,1,2,0,34,0,0,1,0,39,30,30
"FNDC1",1,1,0,0,36,0,0,0,0,38,30,30
"DCHS1",2,3,0,0,32,0,0,0,0,37,30,30
"TNR",0,1,0,0,34,1,0,0,0,36,30,30
"GALNT17",0,0,0,0,32,2,0,0,0,34,30,30
"NFASC",11,0,0,0,20,2,0,0,0,33,30,30
"PCDHA12",2,0,0,0,31,0,0,0,0,33,30,30
"CDH9",1,1,0,0,36,0,0,5,0,43,29,29
"ZNF292",5,1,0,0,30,6,0,0,0,42,29,29
"VPS13A",5,1,0,0,32,1,0,1,0,40,29,29
"SPAG17",3,1,1,0,27,5,0,1,0,38,29,29
"FBN2",7,2,0,0,27,1,0,0,0,37,29,29
"NIPBL",8,1,2,0,23,3,0,0,0,37,29,29
"PCDHB8",0,1,0,0,33,2,0,0,0,36,29,29
"TMEM132D",2,1,0,0,32,0,0,0,0,35,29,29
"CELSR1",6,0,0,0,27,1,0,0,0,34,29,29
"MTOR",2,0,0,0,30,2,0,0,0,34,29,29
"EPHA5",0,3,0,0,25,4,0,0,0,32,29,29
"PTPRS",5,0,0,0,27,0,0,0,0,32,29,29
"TAF1L",3,2,0,0,26,1,0,0,0,32,29,29
"SORCS1",2,0,0,0,23,6,0,0,0,31,29,29
"FAT1",2,3,1,0,37,2,0,0,0,45,28,28
"MAP1B",2,3,0,0,33,5,0,0,0,43,28,28
"HERC1",3,1,1,0,24,13,0,0,0,42,28,28
"LRRC7",3,4,0,0,31,3,0,1,0,42,28,28
"BRWD3",1,0,0,0,30,7,0,2,0,40,28,28
"CREBBP",1,1,0,0,31,6,0,1,0,40,28,28
"F8",4,4,0,0,28,3,0,1,0,40,28,28
"RP1",7,0,0,0,30,3,0,0,0,40,28,28
"VPS13C",8,1,0,0,29,2,0,0,0,40,28,28
"A2ML1",0,1,0,0,34,0,0,2,0,37,28,28
"ADAMTS16",0,1,0,0,32,3,0,0,0,36,28,28
"TRIO",11,0,0,0,23,1,0,1,0,36,28,28
"SPEG",6,1,0,0,24,3,0,0,0,34,28,28
"BNC2",2,0,0,0,26,5,0,0,0,33,28,28
"MUC17",0,1,0,0,29,3,0,0,0,33,28,28
"OTOGL",3,0,0,0,27,2,0,0,0,32,28,28
"VWF",1,0,0,0,31,0,0,0,0,32,28,28
"MAP3K4",7,2,0,0,19,2,0,0,0,30,28,28
"TNS1",3,0,0,0,26,0,0,1,0,30,28,28
"NOS1",3,0,0,0,25,1,0,0,0,29,28,28
"RP1L1",1,0,0,0,27,1,0,0,0,29,28,28
"BIRC6",5,1,0,0,40,5,0,0,0,51,27,27
"ASPM",5,3,0,0,31,5,0,0,0,44,27,27
"PKHD1L1",3,1,0,0,35,2,0,0,0,41,27,27
"FLNC",3,1,0,0,34,1,0,1,0,40,27,27
"COL7A1",7,0,0,0,29,1,0,1,0,38,27,27
"PLEC",1,1,0,0,32,4,0,0,0,38,27,27
"PRDM9",0,0,0,0,32,5,0,0,0,37,27,27
"COL4A1",2,2,0,0,24,3,0,5,0,36,27,27
"AKAP12",5,0,0,0,26,4,0,0,0,35,27,27
"BCL9L",17,3,0,0,14,0,0,1,0,35,27,27
"CNTNAP4",2,0,0,0,30,3,0,0,0,35,27,27
"ABCA1",4,0,0,0,30,0,0,0,0,34,27,27
"DMXL1",4,1,0,0,27,2,0,0,0,34,27,27
"GRIA1",2,1,0,0,30,0,0,1,0,34,27,27
"CNTNAP5",3,1,0,0,28,1,0,0,0,33,27,27
"MYO18B",2,0,0,0,28,3,0,0,0,33,27,27
"SVIL",9,3,0,0,20,1,0,0,0,33,27,27
"LAMA5",2,0,1,0,28,1,0,0,0,32,27,27
"ROBO1",2,0,0,0,28,2,0,0,0,32,27,27
"SDK2",3,0,0,0,29,0,0,0,0,32,27,27
"CTNNA2",1,0,0,0,25,5,0,0,0,31,27,27
"PXDNL",2,0,0,0,27,2,0,0,0,31,27,27
"BCORL1",15,1,0,0,13,1,0,0,0,30,27,27
"EVC2",1,1,0,0,24,2,0,0,0,28,27,27
"FBN1",0,0,0,0,35,7,0,0,0,42,26,26
"DMXL2",4,2,0,0,28,6,0,0,0,40,26,26
"DSEL",1,1,1,0,33,4,0,0,0,40,26,26
"MIA3",0,4,0,0,29,6,0,0,0,39,26,26
"CDH23",0,1,1,0,34,0,0,0,0,36,26,26
"FRAS1",3,0,0,0,30,3,0,0,0,36,26,26
"SCN7A",3,3,0,0,25,5,0,0,0,36,26,26
"SPEF2",3,1,0,0,26,5,0,1,0,36,26,26
"CNTN6",2,2,0,0,30,0,0,0,0,34,26,26
"IGSF10",4,0,0,0,30,0,0,0,0,34,26,26
"FLNA",5,0,0,0,24,2,0,2,0,33,26,26
"ITPR3",4,0,2,0,26,1,0,0,0,33,26,26
"SFMBT2",0,0,1,0,29,1,0,2,0,33,26,26
"ADGRL2",2,3,0,0,26,1,0,0,0,32,26,26
"ARHGAP31",1,0,0,0,28,1,0,2,0,32,26,26
