Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20	SBS40a	SBS54
TCGA-AA-3848-01A-01W-0900-09	73	85	0	0	0	0	0	0
TCGA-AA-3851-01A-01W-0995-10	50	42	0	0	0	0	0	0
TCGA-AA-3855-01A-01W-0995-10	67	4	0	0	0	0	74	0
TCGA-AA-3856-01A-01W-0900-09	26	36	0	0	0	0	0	0
TCGA-AA-3858-01A-01W-0900-09	40	22	0	0	0	0	0	0
TCGA-AA-3860-01A-02W-0900-09	17	36	0	0	0	0	0	0
TCGA-AA-3861-01A-01W-0995-10	70	51	0	0	0	0	0	0
TCGA-AA-3862-01A-01W-0995-10	36	60	0	0	0	0	0	0
TCGA-AA-3864-01A-01D-1981-10	1201	262	0	0	1416	0	0	0
TCGA-AA-3866-01A-01W-0995-10	63	9	0	0	0	0	50	0
TCGA-AA-3867-01A-01W-0995-10	45	0	0	0	0	0	53	0
TCGA-AA-3869-01A-01W-0995-10	31	9	0	12	0	0	27	0
TCGA-AA-3870-01A-01W-0995-10	56	47	0	0	23	0	0	0
TCGA-AA-3875-01A-01W-0900-09	59	70	0	0	0	0	0	0
TCGA-AA-3930-01A-01W-0995-10	48	18	0	0	0	0	141	0
TCGA-AA-3939-01A-01W-0995-10	46	73	0	0	0	0	0	0
TCGA-AA-3941-01A-01W-0995-10	56	55	0	0	0	0	0	0
TCGA-AA-3952-01A-01W-0995-10	30	25	0	0	0	0	37	0
TCGA-AA-3955-01A-02W-0995-10	37	14	0	0	0	0	82	0
TCGA-AA-3956-01A-02W-0995-10	56	76	0	0	0	0	0	0
TCGA-AA-3967-01A-01W-1073-09	62	3	0	0	0	0	91	0
TCGA-AA-3968-01A-01W-0995-10	59	6	0	0	0	0	62	0
TCGA-AA-3971-01A-01W-0995-10	31	13	0	0	0	0	44	0
TCGA-AA-3972-01A-01W-0995-10	37	27	0	0	0	0	30	0
TCGA-AA-3977-01A-01D-1981-10	101	65	1721	1858	899	0	0	0
TCGA-AA-3977-01A-01W-0995-10	121	6	1457	1620	701	0	0	0
TCGA-AA-3979-01A-01W-0995-10	36	84	0	0	30	0	0	0
TCGA-AA-3980-01A-02W-0995-10	49	10	0	0	0	0	44	0
TCGA-AA-3982-01A-02W-0995-10	43	37	0	17	28	0	0	0
TCGA-AA-3984-01A-02D-1981-10	182	24	1059	3136	1251	0	0	0
TCGA-AA-3984-01A-02W-0995-10	162	77	964	2688	1023	0	0	0
TCGA-AA-3986-01A-02W-0995-10	50	42	0	0	0	0	0	0
TCGA-AA-3989-01A-01W-0995-10	45	44	0	0	26	0	0	0
TCGA-AA-A004-01A-01W-A00E-09	33	36	0	0	0	0	0	0
TCGA-AA-A00O-01A-02W-A00E-09	30	57	0	0	0	0	0	0
TCGA-AA-A00Z-01A-01D-A17O-10	7	4	0	0	0	0	0	0
TCGA-AA-A010-01A-01D-A17O-10	369	95	2792	3263	2294	0	0	0
TCGA-AA-A010-01A-01W-A00E-09	346	204	2673	2938	1734	0	0	0
TCGA-AA-A017-01A-01W-A00E-09	24	0	0	0	0	0	27	0
TCGA-AA-A01C-01A-01W-A00E-09	31	5	0	0	0	0	41	0
TCGA-AA-A01I-01A-02W-A00E-09	49	15	0	0	0	0	47	0
TCGA-AA-A01K-01A-01W-A00E-09	36	0	0	0	0	0	103	0
TCGA-AA-A01P-01A-21D-A17O-10	245	267	0	0	328	0	0	0
TCGA-AA-A01P-01A-21W-A096-10	170	253	0	0	134	0	0	0
TCGA-AA-A01S-01A-21W-A096-10	27	22	0	0	14	0	0	0
TCGA-AA-A01T-01A-21W-A096-10	29	27	0	0	0	0	40	0
